"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","92","50","42","0.543","14.0","2.3","3.9","8.3","8774.3","36.2","2.5","241.6","316.9"
"alchemist","Alchemist","20","12","8","0.600","17.7","3.3","4.9","10.7","17380.4","143.8","5.3","459.7","471.3"
"ancient_apparition","Ancient Apparition","527","276","251","0.524","14.5","3.1","4.6","9.7","10847.8","59.8","4.2","262.3","298.2"
"antimage","Anti Mage","215","96","119","0.447","21.3","6.5","3.7","5.0","26190.3","365.7","22.4","639.7","638.2"
"axe","Axe","834","395","439","0.474","17.3","7.4","5.7","6.9","15613.0","150.2","3.8","406.4","445.5"
"bane","Bane","83","46","37","0.554","13.5","2.8","5.5","9.2","8770.9","32.1","4.0","230.8","277.7"
"batrider","Batrider","653","336","317","0.515","17.0","4.1","4.9","11.1","14269.5","144.1","1.6","355.7","410.4"
"beastmaster","Beastmaster","239","133","106","0.556","16.0","3.0","4.7","9.7","13369.4","119.7","4.7","343.9","386.5"
"bloodseeker","Bloodseeker","49","29","20","0.592","18.9","7.7","4.9","7.6","18894.1","187.4","11.0","475.2","525.4"
"bounty_hunter","Bounty Hunter","21","10","11","0.476","13.8","3.3","6.0","8.8","11567.0","32.5","1.2","297.1","286.0"
"brewmaster","Brewmaster","415","234","181","0.564","17.7","5.1","4.1","10.0","15379.2","141.7","10.9","396.0","463.9"
"bristleback","Bristleback","503","225","278","0.447","18.3","5.6","4.7","8.3","18472.1","203.9","9.1","463.8","486.7"
"broodmother","Broodmother","162","90","72","0.556","19.6","5.6","4.7","5.1","19785.1","229.8","4.4","519.4","553.9"
"centaur","Centaur Warrunner","221","108","113","0.489","16.7","3.9","5.1","9.1","13978.3","138.8","7.9","355.9","416.4"
"chaos_knight","Chaos Knight","33","20","13","0.606","19.0","8.9","4.1","10.1","21352.3","215.6","17.0","546.8","524.7"
"chen","Chen","376","225","151","0.598","13.8","2.8","4.1","8.2","11624.7","106.5","0.6","306.3","286.4"
"clinkz","Clinkz","30","16","14","0.533","20.6","8.2","4.7","6.1","20506.2","221.8","13.8","480.1","522.5"
"rattletrap","Clockwerk","607","319","288","0.526","15.6","4.5","6.1","10.9","12382.7","88.3","4.0","312.3","354.4"
"crystal_maiden","Crystal Maiden","54","22","32","0.407","14.1","2.6","6.0","10.2","10306.5","60.2","0.9","265.6","308.8"
