"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"dark_seer","Dark Seer","90","42","48","0.467","16.5","3.4","4.3","10.4","14810.5","168.6","1.1","378.0","406.1"
"dazzle","Dazzle","425","203","222","0.478","13.5","1.6","5.2","7.3","8991.5","48.2","3.8","234.3","278.5"
"death_prophet","Death Prophet","69","25","44","0.362","18.6","5.2","5.1","7.1","18536.5","222.3","10.2","467.1","497.6"
"disruptor","Disruptor","386","184","202","0.477","13.6","2.7","5.8","11.4","9033.2","35.2","2.7","230.7","282.0"
"doom_bringer","Doom","187","90","97","0.481","17.8","4.4","4.8","9.1","18407.0","142.5","3.8","469.1","464.8"
"dragon_knight","Dragon Knight","20","8","12","0.400","17.2","4.4","4.0","7.9","15794.2","167.9","5.5","435.1","468.1"
"drow_ranger","Drow Ranger","223","112","111","0.502","18.2","4.7","4.5","5.9","19014.3","220.0","16.3","524.0","515.1"
"earthshaker","Earthshaker","896","451","445","0.503","14.6","2.7","5.4","11.9","10407.5","59.4","1.4","253.9","306.0"
"elder_titan","Elder Titan","62","30","32","0.484","15.5","2.6","4.9","12.8","12092.8","90.3","2.3","289.2","341.2"
"ember_spirit","Ember Spirit","359","176","183","0.490","19.1","7.6","4.2","10.2","19056.2","214.7","12.1","482.4","527.7"
"enchantress","Enchantress","39","15","24","0.385","14.6","4.4","5.3","8.2","11279.0","86.1","1.2","295.5","323.1"
"enigma","Enigma","261","149","112","0.571","17.3","3.0","4.6","10.9","16019.8","186.3","8.7","406.2","429.8"
"faceless_void","Faceless Void","288","117","171","0.406","18.4","5.8","4.7","7.2","17770.1","187.4","13.6","433.2","480.2"
"gyrocopter","Gyrocopter","68","22","46","0.324","19.6","7.1","5.5","9.1","21538.9","268.5","16.1","508.2","508.5"
"huskar","Huskar","22","9","13","0.409","17.5","7.0","4.3","4.4","17578.6","187.4","17.4","503.7","517.5"
"invoker","Invoker","231","102","129","0.442","17.7","5.8","4.6","8.5","17020.7","172.7","17.4","439.6","469.4"
"wisp","Io","502","268","234","0.534","14.2","2.6","6.3","10.4","8552.5","25.2","1.7","233.3","316.3"
"jakiro","Jakiro","159","85","74","0.535","14.8","2.6","5.5","10.5","10774.6","80.2","3.8","299.1","351.7"
"juggernaut","Juggernaut","802","455","347","0.567","19.3","7.5","3.7","6.1","20877.3","240.1","16.1","553.1","558.0"
"keeper_of_the_light","Keeper of the Light","20","12","8","0.600","15.5","2.1","3.3","9.5","11915.2","105.6","3.1","289.2","337.0"
"kunkka","Kunkka","19","12","7","0.632","15.3","3.9","3.5","9.5","13651.2","115.2","4.6","299.1","322.6"
"legion_commander","Legion Commander","75","33","42","0.440","17.6","4.7","5.9","8.5","15612.2","167.0","8.1","396.1","443.5"
"leshrac","Leshrac","62","33","29","0.532","17.9","6.0","5.6","10.2","17428.8","184.3","7.2","428.3","457.7"
"lich","Lich","124","60","64","0.484","14.9","2.9","4.9","8.3","9406.3","39.4","3.0","235.7","322.4"
"life_stealer","Lifestealer","44","15","29","0.341","19.4","6.9","3.9","7.2","21096.9","231.9","25.1","508.3","519.0"
"lina","Lina","532","263","269","0.494","17.4","6.9","5.4","8.1","16204.6","158.7","5.9","397.6","434.7"
"lion","Lion","1126","562","564","0.499","14.3","3.4","5.9","8.6","9623.8","42.8","3.0","245.5","303.2"
"lone_druid","Lone Druid","39","20","19","0.513","19.7","3.8","3.5","7.8","23135.0","279.0","16.4","551.4","535.4"
"luna","Luna","78","48","30","0.615","18.1","5.4","2.9","8.0","20103.7","246.2","19.4","571.8","529.7"
"lycan","Lycan","255","131","124","0.514","19.0","5.8","3.6","6.9","20624.5","234.1","8.6","538.9","532.4"
"magnataur","Magnus","280","164","116","0.586","17.1","3.9","4.3","9.3","13607.9","127.4","5.3","359.6","437.6"
"medusa","Medusa","278","129","149","0.464","20.3","4.7","3.3","7.7","23966.0","337.0","16.1","571.9","564.3"
"meepo","Meepo","44","19","25","0.432","22.2","8.1","6.3","4.6","21308.5","281.6","5.5","598.3","781.8"
"mirana","Mirana","98","54","44","0.551","14.9","4.3","4.2","9.7","12434.3","95.2","5.5","322.2","348.5"
"morphling","Morphling","293","153","140","0.522","18.8","6.0","3.0","7.2","19277.5","222.7","18.6","489.7","514.0"
"naga_siren","Naga Siren","139","77","62","0.554","18.7","5.1","3.6","9.5","25871.6","397.1","5.6","584.1","464.1"
"furion","Natures Prophet","78","38","40","0.487","17.0","4.4","5.8","11.3","17321.7","201.8","4.4","462.3","451.7"
"necrolyte","Necrophos","74","37","37","0.500","17.8","6.8","4.2","8.3","18023.3","203.7","17.8","483.9","487.1"
"night_stalker","Night Stalker","219","120","99","0.548","16.0","4.3","5.0","8.9","12748.9","101.3","6.1","340.4","392.6"
"nyx_assassin","Nyx Assassin","138","74","64","0.536","16.2","3.5","6.4","10.4","11521.1","62.6","3.7","277.1","361.0"
"ogre_magi","Ogre Magi","234","91","143","0.389","13.7","2.7","5.9","9.2","8866.3","39.1","2.8","227.0","282.6"
"omniknight","Omniknight","138","68","70","0.493","13.3","1.4","4.6","4.8","8375.3","42.5","2.4","228.3","283.5"
"obsidian_destroyer","Outworld Devourer","38","13","25","0.342","18.1","5.0","4.7","4.5","17006.2","192.3","32.1","454.4","490.2"
"phantom_assassin","Phantom Assassin","142","66","76","0.465","19.3","8.3","4.0","7.3","20366.3","233.1","13.9","532.1","548.0"
"phantom_lancer","Phantom Lancer","173","94","79","0.543","20.7","6.8","4.0","6.9","23947.7","312.1","12.8","556.6","561.0"
"phoenix","Phoenix","372","176","196","0.473","16.1","3.9","5.5","10.5","12470.5","88.8","3.7","319.3","384.9"
"puck","Puck","293","129","164","0.440","18.0","5.3","4.9","10.3","15846.9","160.2","11.1","399.5","469.0"
"pudge","Pudge","32","14","18","0.438","15.0","5.0","7.2","8.1","10967.3","57.5","3.0","289.5","346.2"
"pugna","Pugna","17","13","4","0.765","17.2","5.1","6.0","12.5","17847.1","182.9","7.2","417.4","392.6"
"queenofpain","Queen of Pain","696","348","348","0.500","19.4","8.2","4.2","8.6","19260.2","212.8","16.5","484.5","532.7"
"razor","Razor","200","95","105","0.475","18.3","5.3","4.5","8.5","17761.3","201.2","18.8","461.0","494.6"
"riki","Riki","7","4","3","0.571","16.9","5.0","6.3","8.3","14727.5","106.9","7.6","309.7","361.4"
"rubick","Rubick","544","275","269","0.506","14.1","2.8","5.4","10.0","9747.3","52.6","2.6","249.9","298.8"
"sand_king","Sand King","207","99","108","0.478","16.4","3.6","5.3","10.8","12395.4","104.6","1.2","315.9","392.3"
"shadow_demon","Shadow Demon","105","49","56","0.467","13.2","2.1","6.1","10.4","8750.1","35.9","2.1","217.9","252.8"
"nevermore","Shadow Fiend","804","400","404","0.498","19.8","6.9","4.7","8.1","22355.5","290.4","15.0","576.4","573.7"
"shadow_shaman","Shadow Shaman","131","65","66","0.496","14.2","2.5","6.3","9.2","11468.6","82.6","3.0","288.5","298.6"
"silencer","Silencer","236","103","133","0.436","14.4","2.9","4.9","6.9","10767.4","68.2","6.7","274.9","312.7"
"skywrath_mage","Skywrath Mage","883","408","475","0.462","13.6","4.1","5.6","9.4","9250.4","31.3","2.7","239.2","280.2"
"slardar","Slardar","108","58","50","0.537","17.4","4.6","4.4","9.1","15643.3","147.5","17.7","422.8","475.5"
"slark","Slark","396","176","220","0.444","20.1","7.9","3.9","7.2","21156.2","236.3","15.1","532.9","582.4"
"sniper","Sniper","536","296","240","0.552","19.3","9.1","4.6","9.7","21768.3","252.5","18.1","527.8","518.2"
"spectre","Spectre","141","72","69","0.511","19.8","8.4","4.4","14.2","21364.8","261.3","18.4","510.8","541.9"
"spirit_breaker","Spirit Breaker","307","155","152","0.505","16.0","4.2","6.1","10.4","11976.3","82.3","3.3","311.4","384.8"
"storm_spirit","Storm Spirit","632","312","320","0.494","19.7","8.2","5.2","8.7","19246.6","216.5","10.0","493.3","563.3"
"sven","Sven","57","29","28","0.509","19.0","7.5","4.9","8.8","20425.8","227.1","14.8","534.5","532.3"
"techies","Techies","8","2","6","0.250","15.4","5.4","8.1","4.5","14310.5","142.5","1.3","348.8","328.8"
"templar_assassin","Templar Assassin","225","110","115","0.489","20.0","7.3","4.3","5.7","21106.5","241.0","16.7","550.3","587.1"
"terrorblade","Terrorblade","40","20","20","0.500","16.9","4.5","3.7","5.1","20862.4","285.8","12.0","561.6","458.0"
"tidehunter","Tidehunter","399","183","216","0.459","16.6","2.9","4.8","10.5","13279.2","117.9","3.1","342.4","407.5"
"shredder","Timbersaw","85","36","49","0.424","18.2","5.9","5.8","7.6","16545.3","190.2","5.6","417.5","485.2"
"tinker","Tinker","78","35","43","0.449","20.2","6.9","5.0","9.4","23796.7","325.8","8.1","526.3","515.7"
"tiny","Tiny","230","125","105","0.543","19.0","8.6","4.1","7.6","22285.4","271.8","11.9","608.5","561.6"
"treant","Treant Protector","272","152","120","0.559","13.9","1.3","4.8","5.5","9615.9","59.8","3.4","230.6","276.2"
"troll_warlord","Troll Warlord","751","382","369","0.509","19.6","6.2","4.2","6.9","21186.7","252.8","17.4","549.1","563.9"
"tusk","Tusk","59","31","28","0.525","13.6","3.0","6.2","10.9","8892.3","32.7","1.9","243.5","295.8"
"undying","Undying","96","49","47","0.510","14.6","3.6","5.3","12.3","10333.5","56.3","4.1","277.9","327.2"
"ursa","Ursa","15","5","10","0.333","18.5","7.9","4.8","4.5","18300.7","180.5","11.3","491.9","527.1"
"vengefulspirit","Vengeful Spirit","1291","676","615","0.524","13.4","1.7","6.2","10.6","8464.5","29.7","2.3","221.9","275.6"
"venomancer","Venomancer","122","63","59","0.516","16.6","3.7","5.9","10.9","15476.9","158.2","10.3","392.9","406.7"
"viper","Viper","372","172","200","0.462","18.1","5.9","4.7","8.3","17842.9","189.0","20.6","452.7","473.3"
"visage","Visage","101","56","45","0.554","15.0","5.7","4.5","8.3","13109.2","89.1","5.4","334.5","334.9"
"warlock","Warlock","59","31","28","0.525","16.4","4.7","4.0","7.9","15494.2","150.9","17.2","430.3","426.3"
"weaver","Weaver","65","26","39","0.400","19.4","6.9","3.9","7.2","19197.3","217.4","13.5","498.2","552.9"
"windrunner","Windranger","181","65","116","0.359","17.6","5.5","4.8","7.6","16552.1","171.9","12.3","421.4","455.9"
"witch_doctor","Witch Doctor","703","331","372","0.471","13.7","3.4","5.5","9.5","9533.6","45.9","3.1","246.5","286.1"
"skeleton_king","Wraith King","69","34","35","0.493","17.1","4.3","4.4","9.0","15801.5","151.4","10.4","424.9","463.0"
"zuus","Zeus","542","284","258","0.524","17.6","5.7","4.8","14.5","15357.2","140.5","2.7","367.6","431.8"
