"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","25","14","11","0.560","13.7","1.7","3.3","7.6","10000.6","48.7","3.7","274.6","307.7"
"alchemist","Alchemist","18","9","9","0.500","18.3","4.8","4.8","9.2","24791.1","235.7","7.1","634.3","514.1"
"ancient_apparition","Ancient Apparition","160","75","85","0.469","13.8","3.0","4.6","9.6","11064.7","56.7","3.5","265.6","273.5"
"antimage","Anti Mage","152","80","72","0.526","22.0","7.2","3.1","5.7","27769.8","427.9","19.6","664.5","659.6"
"axe","Axe","90","43","47","0.478","16.7","7.1","5.2","6.2","14685.9","161.6","4.5","402.6","440.4"
"bane","Bane","138","68","70","0.493","12.8","2.7","5.5","8.8","9223.5","28.2","3.8","245.8","257.8"
"batrider","Batrider","33","15","18","0.455","17.5","3.0","4.6","13.0","15148.7","159.6","3.3","345.0","393.5"
"beastmaster","Beastmaster","193","113","80","0.585","16.0","3.9","4.3","9.6","14218.2","133.7","6.3","377.5","392.9"
"bloodseeker","Bloodseeker","149","65","84","0.436","18.8","7.3","5.1","7.4","19916.2","227.7","17.0","495.3","496.4"
"bounty_hunter","Bounty Hunter","276","166","110","0.601","13.6","3.5","5.7","8.7","12781.4","28.3","0.7","334.0","282.4"
"brewmaster","Brewmaster","69","32","37","0.464","15.8","4.2","4.2","9.4","13315.5","126.0","9.3","369.1","402.9"
"bristleback","Bristleback","245","114","131","0.465","17.6","5.0","4.2","8.1","17270.4","198.0","8.4","452.5","467.1"
"broodmother","Broodmother","123","60","63","0.488","17.9","4.6","4.2","4.6","17157.7","210.9","4.2","481.7","509.1"
"centaur","Centaur Warrunner","90","43","47","0.478","15.5","3.6","4.8","8.3","12636.5","129.0","10.1","351.6","387.4"
"chaos_knight","Chaos Knight","8","2","6","0.250","18.8","6.6","5.4","9.0","20349.4","235.5","18.5","458.6","449.8"
"chen","Chen","129","71","58","0.550","12.6","2.5","3.9","7.5","10961.7","102.9","0.6","306.9","262.4"
"clinkz","Clinkz","80","49","31","0.613","18.7","8.3","3.9","5.8","18889.7","203.1","13.9","503.7","531.2"
"rattletrap","Clockwerk","570","289","281","0.507","15.0","4.0","5.8","11.7","12582.2","91.1","3.5","311.9","323.1"
"crystal_maiden","Crystal Maiden","125","74","51","0.592","14.2","3.2","5.3","11.8","11263.3","61.9","0.9","292.1","309.5"
"dark_seer","Dark Seer","392","177","215","0.452","16.1","3.0","4.5","10.2","14999.7","183.9","0.9","383.9","385.2"
"dazzle","Dazzle","440","229","211","0.520","12.9","1.5","4.3","6.3","9463.9","50.3","2.8","249.3","258.7"
"death_prophet","Death Prophet","3","1","2","0.333","17.3","4.3","3.3","7.3","16816.4","211.0","10.7","427.0","469.7"
"disruptor","Disruptor","290","149","141","0.514","13.5","2.7","5.5","12.0","9811.3","35.0","2.7","251.1","273.9"
"doom_bringer","Doom","10","2","8","0.200","14.5","3.6","5.1","6.4","13577.4","111.2","2.9","417.0","382.9"
"dragon_knight","Dragon Knight","260","144","116","0.554","17.5","5.5","4.5","9.3","16844.6","184.2","6.3","447.5","468.3"
"drow_ranger","Drow Ranger","145","70","75","0.483","16.8","3.6","4.2","5.2","16933.7","213.2","16.0","492.7","471.9"
"earthshaker","Earthshaker","720","351","369","0.488","14.1","2.6","5.0","11.8","10792.6","63.2","1.6","274.6","296.0"
"elder_titan","Elder Titan","4","1","3","0.250","12.3","1.0","4.8","7.8","8469.9","74.0","2.8","280.0","297.8"
"ember_spirit","Ember Spirit","170","82","88","0.482","19.4","7.0","4.2","9.6","20878.0","275.6","12.7","498.1","522.1"
"enchantress","Enchantress","49","22","27","0.449","14.7","4.5","4.5","8.0","12207.7","94.2","1.8","319.9","330.4"
"enigma","Enigma","59","32","27","0.542","16.6","3.0","4.4","11.4","15733.5","193.6","9.2","398.1","399.5"
"faceless_void","Faceless Void","17","7","10","0.412","18.7","6.4","4.6","8.3","19080.8","215.9","16.4","433.8","467.5"
"gyrocopter","Gyrocopter","742","381","361","0.513","18.9","7.6","4.1","8.9","21410.3","283.7","17.3","535.4","513.0"
