"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","84","42","42","0.500","12.4","2.0","3.6","7.9","7921.9","32.8","2.8","241.0","277.7"
"alchemist","Alchemist","161","64","97","0.398","14.5","2.2","4.5","10.0","12139.3","95.9","3.3","342.7","353.5"
"ancient_apparition","Ancient Apparition","658","321","337","0.488","12.8","3.3","4.2","9.1","9229.7","42.1","3.9","245.7","260.2"
"antimage","Anti Mage","60","35","25","0.583","20.1","5.7","2.6","4.4","21555.6","291.6","17.6","633.9","664.6"
"axe","Axe","86","40","46","0.465","16.7","8.7","6.1","8.2","14805.2","133.0","3.1","403.1","436.9"
"bane","Bane","335","169","166","0.504","12.8","2.8","5.1","8.8","8629.1","26.6","3.3","241.3","269.7"
"batrider","Batrider","553","301","252","0.544","15.9","4.4","4.4","10.4","13288.9","130.3","2.6","370.2","410.6"
"beastmaster","Beastmaster","54","32","22","0.593","15.4","2.5","3.8","9.4","13302.5","123.4","3.5","362.8","380.7"
"bloodseeker","Bloodseeker","7","3","4","0.429","16.4","5.7","5.9","7.4","15290.0","165.4","15.7","451.9","467.1"
"bounty_hunter","Bounty Hunter","59","27","32","0.458","15.2","5.3","5.7","8.1","13284.4","61.7","3.6","365.8","363.1"
"brewmaster","Brewmaster","48","23","25","0.479","16.1","4.3","3.9","9.4","13280.5","122.2","10.0","376.1","426.1"
"bristleback","Bristleback","87","27","60","0.310","15.3","3.6","4.9","7.1","13287.3","139.6","7.2","385.2","397.0"
"centaur","Centaur Warrunner","474","242","232","0.511","15.3","4.2","4.9","8.7","12384.0","110.0","6.5","350.6","389.8"
"chaos_knight","Chaos Knight","13","5","8","0.385","15.5","6.2","4.2","6.9","15509.3","159.7","15.0","441.4","417.8"
"chen","Chen","283","143","140","0.505","12.6","2.6","4.1","7.4","10174.5","81.3","0.8","295.6","268.5"
"clinkz","Clinkz","72","36","36","0.500","17.6","6.8","4.2","4.7","17020.0","179.0","15.5","500.3","528.6"
"rattletrap","Clockwerk","377","182","195","0.483","14.2","4.3","5.4","9.8","10788.1","74.9","3.5","303.9","334.2"
"crystal_maiden","Crystal Maiden","308","159","149","0.516","12.6","2.1","5.1","9.9","8812.3","43.2","0.9","254.5","274.8"
"dark_seer","Dark Seer","222","122","100","0.550","15.3","3.4","4.3","9.7","13749.6","147.3","1.1","383.0","384.4"
"dazzle","Dazzle","536","276","260","0.515","12.4","1.9","4.7","7.0","8674.3","42.3","3.5","247.1","264.6"
"death_prophet","Death Prophet","102","47","55","0.461","17.6","5.5","4.4","7.5","17453.6","193.1","8.8","472.9","481.5"
"disruptor","Disruptor","226","111","115","0.491","12.4","3.0","5.3","10.8","8369.6","30.1","2.6","244.3","271.2"
"doom_bringer","Doom","402","207","195","0.515","16.4","4.5","4.1","9.5","16907.0","140.1","7.7","473.4","436.6"
"dragon_knight","Dragon Knight","176","88","88","0.500","16.3","4.7","3.9","7.9","15062.4","153.4","7.1","435.4","447.5"
"drow_ranger","Drow Ranger","46","20","26","0.435","16.8","4.1","5.0","5.5","16957.8","183.4","12.7","508.3","491.1"
"earthshaker","Earthshaker","125","60","65","0.480","13.3","2.7","5.2","11.2","9398.7","42.6","1.2","253.2","283.7"
"elder_titan","Elder Titan","129","64","65","0.496","14.3","2.7","3.8","9.3","11202.7","97.6","2.8","327.1","355.0"
"ember_spirit","Ember Spirit","351","188","163","0.536","17.7","7.9","4.1","9.6","16892.8","178.4","10.4","454.2","501.8"
"enchantress","Enchantress","275","137","138","0.498","13.2","3.6","4.1","7.0","10375.7","76.8","0.9","293.8","289.2"
"enigma","Enigma","92","42","50","0.457","15.0","2.3","4.2","9.2","13691.1","152.1","6.6","388.8","372.9"
"faceless_void","Faceless Void","69","32","37","0.464","18.3","5.7","4.0","7.5","18732.3","208.3","19.0","497.6","506.1"
"gyrocopter","Gyrocopter","109","39","70","0.358","16.6","5.1","4.3","6.7","17440.2","215.2","16.7","501.4","467.2"
"huskar","Huskar","5","1","4","0.200","19.4","9.0","7.2","5.4","18269.0","183.2","16.4","453.4","534.0"
"invoker","Invoker","607","308","299","0.507","17.1","5.9","3.9","8.8","16608.9","165.0","17.3","460.0","472.0"
"wisp","Io","161","91","70","0.565","12.9","2.7","5.4","9.9","8199.7","28.5","2.7","247.0","293.7"
"jakiro","Jakiro","40","15","25","0.375","12.7","2.0","5.3","9.3","8893.0","50.4","2.6","258.0","277.7"
"juggernaut","Juggernaut","39","23","16","0.590","17.0","5.7","3.1","7.4","16945.5","175.3","16.0","492.6","492.5"
"keeper_of_the_light","Keeper of the Light","24","9","15","0.375","13.9","1.4","4.9","7.6","12141.1","118.5","1.8","282.0","269.1"
"kunkka","Kunkka","27","11","16","0.407","16.5","4.8","5.0","8.0","15894.6","177.8","9.5","421.3","432.7"
"leshrac","Leshrac","90","49","41","0.544","12.6","3.5","5.0","8.8","10038.7","66.1","3.5","308.0","298.3"
"lich","Lich","114","52","62","0.456","13.4","3.0","4.6","7.7","8426.9","36.2","3.9","247.6","313.2"
"life_stealer","Lifestealer","316","145","171","0.459","17.9","6.2","3.7","7.2","18273.8","195.0","17.8","498.7","504.5"
"lina","Lina","13","3","10","0.231","11.2","3.8","6.1","7.2","8115.6","48.3","1.3","238.1","235.6"
"lion","Lion","105","42","63","0.400","12.8","2.9","6.2","7.8","8588.3","33.3","2.5","236.4","267.3"
"lone_druid","Lone Druid","95","52","43","0.547","16.4","3.6","2.8","6.8","16689.0","190.2","13.6","506.3","476.5"
"luna","Luna","363","198","165","0.545","18.0","5.8","3.7","8.2","20008.9","242.1","18.3","574.7","539.6"
"lycan","Lycan","223","137","86","0.614","17.3","4.9","3.0","6.2","18407.5","206.2","8.8","535.9","498.1"
"magnataur","Magnus","71","28","43","0.394","16.0","4.7","4.3","8.3","12527.0","118.5","5.5","365.5","436.5"
"medusa","Medusa","5","2","3","0.400","18.0","5.0","4.2","6.0","22937.0","291.6","16.4","566.4","503.8"
"meepo","Meepo","17","9","8","0.529","19.8","5.5","6.8","7.7","16393.7","185.8","4.2","473.2","657.2"
"mirana","Mirana","593","355","238","0.599","17.2","6.4","3.4","8.8","16891.5","168.7","12.7","453.8","464.8"
"morphling","Morphling","181","75","106","0.414","18.9","7.0","2.8","4.9","20991.2","263.3","23.3","551.6","544.8"
"naga_siren","Naga Siren","290","151","139","0.521","16.0","3.4","3.1","8.1","18684.9","265.8","5.5","486.0","406.7"
