"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","66","33","33","0.500","12.5","2.7","4.2","8.6","8667.1","38.4","1.7","280.6","292.8"
"alchemist","Alchemist","261","120","141","0.460","18.3","4.3","4.9","9.9","25605.4","256.2","3.7","674.5","512.9"
"ancient_apparition","Ancient Apparition","331","167","164","0.505","14.1","3.7","4.9","10.8","11567.1","53.0","3.7","278.7","286.0"
"antimage","Anti Mage","128","57","71","0.445","20.9","6.4","3.1","4.6","23847.8","368.1","16.2","632.9","652.2"
"axe","Axe","47","19","28","0.404","16.8","7.6","5.1","5.8","15585.4","175.9","5.0","410.4","435.7"
"bane","Bane","538","294","244","0.546","12.8","3.3","5.6","9.3","9285.7","28.5","3.4","254.8","265.8"
"batrider","Batrider","101","55","46","0.545","15.9","4.3","5.0","12.3","13565.6","134.6","2.7","360.6","392.4"
"beastmaster","Beastmaster","186","105","81","0.565","15.9","4.0","5.0","10.5","14198.7","137.2","6.6","379.5","387.4"
"bloodseeker","Bloodseeker","2","1","1","0.500","15.0","1.0","7.0","5.0","12930.3","152.0","14.0","397.0","397.0"
"bounty_hunter","Bounty Hunter","161","86","75","0.534","12.8","3.2","5.9","8.6","11813.3","21.2","0.5","319.4","261.4"
"brewmaster","Brewmaster","47","28","19","0.596","16.5","4.7","4.4","11.4","13615.1","116.3","7.6","381.3","429.3"
"bristleback","Bristleback","77","29","48","0.377","18.2","6.4","5.3","9.2","18829.2","217.0","8.0","482.5","489.2"
"broodmother","Broodmother","149","68","81","0.456","17.7","4.8","4.7","5.9","17084.0","216.3","4.5","471.7","495.6"
"centaur","Centaur Warrunner","37","22","15","0.595","16.4","4.9","5.1","9.7","14171.9","137.3","8.0","383.0","419.6"
"chaos_knight","Chaos Knight","46","26","20","0.565","16.2","7.7","4.6","8.2","16279.8","161.9","14.2","456.3","430.0"
"chen","Chen","16","12","4","0.750","12.7","3.4","3.7","7.5","11376.8","100.0","0.3","331.2","265.5"
"clinkz","Clinkz","51","32","19","0.627","19.7","9.4","4.7","6.9","20957.9","217.6","13.5","510.6","531.6"
"rattletrap","Clockwerk","288","139","149","0.483","14.6","4.1","6.3","12.2","12194.0","87.1","3.5","307.1","314.4"
"crystal_maiden","Crystal Maiden","44","19","25","0.432","14.1","3.3","6.0","11.8","10933.5","47.2","0.8","275.2","291.5"
"dark_seer","Dark Seer","555","269","286","0.485","15.9","3.7","4.7","11.5","14867.9","178.6","1.1","393.4","387.3"
"dazzle","Dazzle","714","374","340","0.524","12.7","1.7","4.8","7.2","9249.7","47.6","2.7","251.3","259.3"
"death_prophet","Death Prophet","20","7","13","0.350","17.1","5.1","4.6","6.4","16292.3","210.0","9.9","454.0","470.7"
"disruptor","Disruptor","330","164","166","0.497","13.1","3.0","5.9","12.5","9590.6","33.7","2.5","255.7","270.0"
"doom_bringer","Doom","304","184","120","0.605","17.1","5.6","4.5","10.9","18064.1","150.8","5.4","469.7","438.2"
"dragon_knight","Dragon Knight","91","44","47","0.484","17.5","6.0","4.6","10.4","17175.7","182.3","6.1","440.0","449.9"
"drow_ranger","Drow Ranger","40","24","16","0.600","17.7","4.4","4.5","6.8","18861.1","230.2","14.7","501.8","473.4"
"earthshaker","Earthshaker","391","206","185","0.527","14.6","2.9","5.4","12.4","11454.4","70.7","1.8","288.8","316.1"
"elder_titan","Elder Titan","14","5","9","0.357","14.6","1.7","6.0","13.3","12007.2","83.9","2.9","280.6","291.5"
"ember_spirit","Ember Spirit","548","263","285","0.480","19.4","7.2","4.0","10.4","20540.4","274.0","10.1","503.2","533.1"
"enchantress","Enchantress","15","8","7","0.533","14.0","5.0","5.2","8.3","12034.4","88.5","6.7","327.1","315.9"
"enigma","Enigma","9","4","5","0.444","15.1","2.4","4.9","8.9","14073.7","166.7","12.7","377.7","361.8"
"faceless_void","Faceless Void","2","2","0","1.000","22.0","13.0","4.0","12.5","24868.3","228.5","5.0","618.0","646.5"
"gyrocopter","Gyrocopter","587","288","299","0.491","18.3","7.7","4.4","9.5","19974.2","258.5","15.7","527.3","505.6"
"huskar","Huskar","109","64","45","0.587","16.0","7.2","5.0","5.5","16127.2","165.9","17.1","491.1","451.0"
"invoker","Invoker","153","68","85","0.444","17.8","6.7","4.6","9.0","17821.2","191.8","19.3","461.6","470.7"
"wisp","Io","261","149","112","0.571","13.6","2.8","6.7","11.3","9473.4","27.4","1.8","261.8","299.6"
"jakiro","Jakiro","85","39","46","0.459","13.9","2.2","5.7","10.4","10298.5","71.5","3.0","287.8","316.1"
"juggernaut","Juggernaut","281","142","139","0.505","18.8","7.3","4.1","7.3","20561.3","264.1","15.2","540.6","536.4"
"keeper_of_the_light","Keeper of the Light","16","2","14","0.125","13.4","2.4","5.2","6.9","11481.6","108.6","1.2","285.4","261.6"
"kunkka","Kunkka","2","1","1","0.500","15.0","2.5","4.0","7.5","12410.6","108.0","5.0","315.5","365.0"
"legion_commander","Legion Commander","64","27","37","0.422","16.8","4.7","5.4","8.5","14957.0","162.5","7.8","410.9","444.4"
"leshrac","Leshrac","75","32","43","0.427","17.9","6.4","5.7","8.9","18016.3","228.1","9.3","460.2","472.7"
"lich","Lich","234","132","102","0.564","14.1","3.2","4.9","9.9","9774.9","35.2","3.2","261.1","312.3"
"life_stealer","Lifestealer","14","4","10","0.286","18.9","6.0","4.1","8.6","18546.1","224.6","21.3","460.5","494.9"
"lina","Lina","385","173","212","0.449","16.8","6.5","5.7","7.9","15736.9","167.0","6.2","402.4","418.0"
"lion","Lion","108","42","66","0.389","13.3","2.9","6.3","8.4","9437.3","36.7","2.5","236.5","261.7"
"lone_druid","Lone Druid","22","13","9","0.591","18.4","4.3","2.9","7.7","20007.6","246.1","14.4","522.0","507.5"
"luna","Luna","48","21","27","0.438","18.1","6.4","4.3","8.1","19736.9","269.8","17.6","527.4","504.2"
"lycan","Lycan","34","15","19","0.441","17.8","5.6","4.3","7.5","18275.1","226.7","9.1","496.6","487.6"
"magnataur","Magnus","58","27","31","0.466","16.5","3.0","5.2","9.2","13094.7","120.8","4.4","335.8","398.0"
"medusa","Medusa","17","9","8","0.529","19.6","4.6","3.4","8.0","22302.2","344.1","8.0","544.3","547.1"
"meepo","Meepo","31","19","12","0.613","21.2","8.4","4.5","5.8","19007.8","252.0","3.0","610.6","816.3"
"mirana","Mirana","28","17","11","0.607","15.6","5.9","3.6","9.5","14146.2","132.8","8.3","402.5","410.6"
"morphling","Morphling","10","4","6","0.400","17.0","4.6","3.3","6.7","16431.0","187.3","10.7","442.9","457.5"
"naga_siren","Naga Siren","37","12","25","0.324","15.1","1.9","4.1","7.1","17752.0","262.4","3.0","415.2","333.7"
"furion","Natures Prophet","71","35","36","0.493","17.1","4.3","5.1","10.6","19537.6","273.2","6.0","498.9","442.5"
"necrolyte","Necrophos","49","20","29","0.408","17.9","7.5","4.9","8.6","18762.2","234.0","14.1","477.0","471.7"
"night_stalker","Night Stalker","445","226","219","0.508","15.1","4.0","5.1","10.0","12316.2","80.4","3.7","324.7","350.0"
"nyx_assassin","Nyx Assassin","73","38","35","0.521","14.9","3.7","5.5","10.5","11216.7","58.2","4.5","295.7","342.3"
"ogre_magi","Ogre Magi","104","46","58","0.442","13.3","2.9","5.5","9.6","9622.2","38.2","2.1","254.5","276.3"
"omniknight","Omniknight","46","30","16","0.652","14.2","2.7","4.1","7.4","10499.4","59.5","2.4","302.5","343.3"
"obsidian_destroyer","Outworld Devourer","4","0","4","0.000","17.8","8.0","5.5","7.3","17027.0","211.8","30.5","439.3","469.8"
"phantom_assassin","Phantom Assassin","24","12","12","0.500","19.1","8.8","4.3","9.1","19718.8","230.3","11.8","514.1","539.9"
"phantom_lancer","Phantom Lancer","148","70","78","0.473","18.6","6.0","3.4","7.0","19599.0","265.3","13.8","504.0","512.9"
"phoenix","Phoenix","74","31","43","0.419","15.6","4.3","5.5","10.9","12735.2","86.0","4.1","328.2","365.9"
"puck","Puck","16","9","7","0.563","18.4","6.5","5.5","12.8","17336.6","178.6","12.1","423.7","472.8"
"pudge","Pudge","16","5","11","0.313","14.1","5.1","8.4","9.1","10393.4","51.8","2.5","300.9","327.9"
"pugna","Pugna","11","7","4","0.636","16.2","4.4","5.7","10.4","15304.7","134.1","8.6","372.4","350.5"
"queenofpain","Queen of Pain","774","362","412","0.468","18.4","8.9","4.0","9.3","18583.9","209.7","15.0","478.5","500.6"
"razor","Razor","182","88","94","0.484","18.4","6.7","4.7","8.7","18673.4","232.7","15.6","482.0","498.3"
"riki","Riki","2","0","2","0.000","17.0","7.5","5.0","10.0","13754.0","114.5","9.5","382.0","458.5"
"rubick","Rubick","295","130","165","0.441","13.2","2.8","6.0","10.6","9891.4","48.6","2.2","262.0","271.8"
"sand_king","Sand King","27","13","14","0.481","14.9","2.7","5.3","9.9","11169.9","105.8","0.9","321.6","367.0"
"shadow_demon","Shadow Demon","61","26","35","0.426","12.6","2.8","6.2","10.0","9575.2","47.0","1.9","263.2","261.7"
"nevermore","Shadow Fiend","617","352","265","0.571","19.0","7.2","4.7","8.2","21246.3","288.3","13.6","575.6","553.4"
"shadow_shaman","Shadow Shaman","62","30","32","0.484","13.5","3.1","6.3","9.9","11391.4","78.4","2.7","305.2","288.0"
"silencer","Silencer","92","42","50","0.457","14.1","4.2","4.8","6.9","11456.9","75.6","7.5","300.0","315.0"
"skywrath_mage","Skywrath Mage","99","37","62","0.374","13.0","4.2","6.0","9.4","9601.9","30.5","2.1","248.5","256.0"
"slardar","Slardar","547","288","259","0.527","15.4","3.4","5.2","10.2","12207.6","94.3","7.8","333.6","379.1"
"slark","Slark","102","53","49","0.520","19.9","8.3","3.8","7.7","20869.1","259.1","11.9","519.8","567.2"
"sniper","Sniper","6","4","2","0.667","16.2","7.8","3.8","9.2","17441.6","198.7","19.3","521.8","452.5"
"spectre","Spectre","63","24","39","0.381","19.2","7.2","4.8","12.3","20928.0","291.2","15.1","488.2","501.6"
"spirit_breaker","Spirit Breaker","392","189","203","0.482","14.1","3.4","6.7","11.3","10670.5","51.7","2.1","285.7","312.1"
"storm_spirit","Storm Spirit","27","8","19","0.296","18.4","6.5","5.4","6.8","17632.3","220.7","10.9","459.2","504.2"
"sven","Sven","83","43","40","0.518","18.8","6.0","4.4","8.8","19634.5","244.8","12.5","490.9","503.6"
"techies","Techies","3","0","3","0.000","12.7","5.0","11.7","4.0","9671.7","78.7","0.7","241.3","234.0"
"templar_assassin","Templar Assassin","250","128","122","0.512","19.4","7.8","4.0","5.8","20654.7","250.6","14.6","565.2","590.2"
"tidehunter","Tidehunter","27","15","12","0.556","16.1","3.4","4.1","11.6","13258.7","117.9","4.6","371.1","410.4"
"shredder","Timbersaw","31","17","14","0.548","19.3","8.6","4.7","9.2","20211.4","263.3","8.0","490.5","519.2"
"tinker","Tinker","11","1","10","0.091","16.8","5.4","5.4","5.4","19033.4","303.3","7.6","442.8","407.8"
"tiny","Tiny","299","168","131","0.562","18.1","8.8","4.6","8.8","19571.9","233.8","9.6","531.0","511.8"
"treant","Treant Protector","10","3","7","0.300","9.8","0.9","4.3","3.8","5450.3","20.5","3.2","192.5","207.4"
"troll_warlord","Troll Warlord","4","1","3","0.250","16.0","5.0","6.5","8.8","15563.4","173.0","17.3","452.5","423.5"
"tusk","Tusk","863","439","424","0.509","14.5","3.8","6.4","12.1","11546.8","69.7","2.4","303.8","324.9"
"undying","Undying","400","214","186","0.535","13.4","3.3","5.0","13.0","9939.3","43.3","2.9","272.8","290.8"
