"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"ursa","Ursa","78","45","33","0.577","17.6","9.8","4.5","7.8","17468.6","170.9","8.5","485.4","498.9"
"vengefulspirit","Vengeful Spirit","114","68","46","0.596","14.1","3.2","5.5","12.1","11302.2","71.0","6.8","319.4","330.5"
"venomancer","Venomancer","82","44","38","0.537","16.0","4.4","6.3","12.4","15750.2","148.9","6.8","386.9","366.1"
"viper","Viper","173","96","77","0.555","17.4","7.1","4.3","9.5","17898.6","200.9","20.5","480.4","471.5"
"visage","Visage","97","54","43","0.557","13.8","5.7","4.7","9.2","11888.3","72.5","4.0","313.2","295.5"
"warlock","Warlock","6","4","2","0.667","14.2","3.7","3.8","10.5","12715.5","92.8","11.5","396.0","357.0"
"weaver","Weaver","17","5","12","0.294","17.9","5.2","4.2","7.1","17358.8","193.2","11.1","448.1","479.6"
"windrunner","Windranger","378","156","222","0.413","17.6","7.2","4.7","7.4","17311.3","181.8","12.5","440.6","451.2"
"winter_wyvern","Winter Wyvern","709","350","359","0.494","13.6","2.6","5.2","9.6","10657.6","64.9","1.7","276.1","282.9"
"witch_doctor","Witch Doctor","210","84","126","0.400","12.8","2.9","5.8","9.7","9411.5","44.2","2.9","251.8","262.4"
"skeleton_king","Wraith King","111","54","57","0.486","17.6","5.7","3.9","10.3","17409.1","197.6","13.0","456.8","474.8"
"zuus","Zeus","47","20","27","0.426","17.0","6.6","5.9","14.9","15225.7","152.5","2.7","394.7","438.8"
