"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","93","52","41","0.559","15.2","2.3","3.9","10.2","10175.2","53.8","2.3","250.7","329.6"
"alchemist","Alchemist","44","19","25","0.432","16.7","2.8","5.7","10.3","14490.5","116.0","3.2","371.3","411.9"
"ancient_apparition","Ancient Apparition","402","207","195","0.515","14.7","3.6","5.2","10.6","10688.5","56.9","4.2","245.5","288.8"
"antimage","Anti Mage","180","86","94","0.478","21.9","8.3","3.8","5.8","27729.8","383.8","20.9","648.6","636.4"
"axe","Axe","60","30","30","0.500","18.5","10.0","5.6","7.1","17743.8","181.6","3.7","457.0","499.0"
"bane","Bane","120","64","56","0.533","14.3","3.6","6.4","9.1","9488.7","30.4","3.5","228.4","283.8"
"batrider","Batrider","433","208","225","0.480","17.3","4.7","5.1","11.4","14463.0","149.7","1.7","355.6","418.3"
"beastmaster","Beastmaster","66","36","30","0.545","16.3","3.0","5.0","9.8","12883.8","108.3","3.6","318.6","379.2"
"bounty_hunter","Bounty Hunter","9","3","6","0.333","16.2","6.0","6.9","9.0","13716.1","65.4","1.6","308.7","337.1"
"brewmaster","Brewmaster","567","316","251","0.557","18.6","5.9","4.2","10.2","16161.4","151.2","10.4","400.5","482.8"
"bristleback","Bristleback","117","50","67","0.427","17.6","5.7","4.9","8.5","16787.4","190.5","10.3","442.2","455.5"
"broodmother","Broodmother","49","30","19","0.612","19.5","6.7","5.1","6.0","20090.9","228.7","3.9","523.8","562.8"
"centaur","Centaur Warrunner","544","248","296","0.456","17.3","4.6","5.7","10.2","14498.9","141.2","7.6","351.2","417.4"
"chaos_knight","Chaos Knight","9","1","8","0.111","15.8","5.1","4.6","6.6","14921.5","162.8","19.0","425.4","417.9"
"chen","Chen","10","6","4","0.600","13.9","3.1","3.5","8.1","12290.9","104.8","0.6","288.6","264.5"
"clinkz","Clinkz","53","22","31","0.415","20.3","8.5","4.9","5.7","21286.9","217.9","13.5","521.1","560.9"
"rattletrap","Clockwerk","138","70","68","0.507","16.5","5.4","6.3","12.0","13463.0","102.7","4.5","315.4","372.8"
"crystal_maiden","Crystal Maiden","90","51","39","0.567","15.6","3.2","6.0","13.3","11573.7","71.5","1.0","274.5","331.8"
"dark_seer","Dark Seer","56","19","37","0.339","17.8","4.2","6.2","10.5","16420.8","186.6","1.0","388.1","429.7"
"dazzle","Dazzle","168","81","87","0.482","13.7","1.8","5.4","7.0","9252.4","56.7","4.1","235.8","277.6"
"death_prophet","Death Prophet","434","227","207","0.523","20.1","7.1","4.6","9.2","21013.5","245.9","10.2","504.0","541.5"
"disruptor","Disruptor","199","94","105","0.472","13.8","3.1","6.1","11.7","8954.5","35.8","2.9","228.4","285.6"
