"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"lion","Lion","152","74","78","0.487","12.9","3.2","5.5","8.1","8858.0","35.1","2.1","246.9","274.6"
"lone_druid","Lone Druid","106","49","57","0.462","16.5","3.4","3.5","6.3","17432.0","200.4","12.7","486.7","447.2"
"luna","Luna","214","112","102","0.523","17.6","5.2","4.0","7.6","19618.5","238.5","15.7","566.8","519.9"
"lycan","Lycan","361","212","149","0.587","17.7","4.9","3.3","6.2","18653.1","211.1","8.6","532.3","513.6"
"magnataur","Magnus","91","41","50","0.451","16.5","4.3","3.9","9.2","13375.2","131.7","6.0","371.6","442.0"
"medusa","Medusa","10","3","7","0.300","18.8","5.7","5.8","7.0","19506.4","238.3","14.9","510.2","529.5"
"meepo","Meepo","52","24","28","0.462","20.3","7.3","6.3","5.9","20674.0","277.1","3.4","555.1","673.4"
"mirana","Mirana","1113","615","498","0.553","15.9","5.0","3.7","9.0","14682.2","137.7","9.5","401.8","409.8"
"morphling","Morphling","314","174","140","0.554","19.2","7.3","2.7","6.0","22213.4","276.5","20.9","563.5","547.1"
"naga_siren","Naga Siren","265","143","122","0.540","16.5","4.0","3.4","7.5","20078.4","299.4","5.9","522.8","426.9"
"furion","Natures Prophet","677","361","316","0.533","17.0","4.6","4.9","10.0","18266.7","205.4","5.0","511.7","471.9"
"necrolyte","Necrophos","19","8","11","0.421","15.1","5.6","4.7","7.9","14018.2","150.5","13.7","451.8","423.1"
"night_stalker","Night Stalker","48","22","26","0.458","16.2","5.4","4.0","8.8","14100.2","121.9","6.7","367.8","401.3"
"nyx_assassin","Nyx Assassin","277","138","139","0.498","14.2","3.5","4.9","9.5","9930.9","51.8","3.6","276.8","333.1"
"ogre_magi","Ogre Magi","22","9","13","0.409","11.9","3.2","4.9","8.4","7588.3","25.2","1.5","262.9","292.1"
"omniknight","Omniknight","37","15","22","0.405","14.2","2.5","3.6","4.9","10639.5","85.0","5.3","302.4","345.3"
"obsidian_destroyer","Outworld Devourer","110","54","56","0.491","17.8","5.8","3.8","5.4","18124.7","206.1","26.2","507.9","516.8"
"phantom_assassin","Phantom Assassin","74","34","40","0.459","18.1","7.4","4.0","6.9","17673.7","203.2","8.8","489.9","522.9"
"phantom_lancer","Phantom Lancer","16","8","8","0.500","17.8","3.9","3.0","7.1","21554.1","301.6","16.4","557.3","486.3"
"puck","Puck","430","215","215","0.500","16.3","5.3","4.3","9.9","13629.1","132.3","10.1","391.3","443.8"
"pudge","Pudge","24","7","17","0.292","13.3","5.5","7.3","7.7","9400.6","58.9","4.3","318.8","361.5"
"pugna","Pugna","143","76","67","0.531","15.1","4.5","4.7","8.8","14903.5","148.7","8.0","433.5","381.4"
"queenofpain","Queen of Pain","124","59","65","0.476","18.7","8.0","4.0","7.5","18281.3","205.5","16.5","486.6","529.5"
"razor","Razor","588","307","281","0.522","17.1","5.8","4.3","8.4","16726.2","189.7","16.3","465.0","472.8"
"riki","Riki","19","9","10","0.474","16.8","7.1","5.0","6.4","15581.3","155.5","16.4","445.1","466.1"
"rubick","Rubick","775","392","383","0.506","13.0","2.8","5.2","10.0","9354.6","46.5","2.3","262.2","281.3"
"sand_king","Sand King","601","288","313","0.479","14.4","3.3","5.1","10.5","10967.4","79.2","1.0","300.0","338.9"
"shadow_demon","Shadow Demon","653","304","349","0.466","12.3","3.5","5.4","9.1","8878.3","32.7","2.1","242.1","245.3"
"nevermore","Shadow Fiend","149","67","82","0.450","18.9","6.4","4.9","6.3","21523.5","270.2","14.1","593.3","573.1"
"shadow_shaman","Shadow Shaman","714","364","350","0.510","12.7","2.9","6.2","8.8","10606.7","70.2","2.2","301.7","273.9"
"silencer","Silencer","129","60","69","0.465","15.4","4.5","5.0","8.6","13632.7","118.0","13.1","359.5","376.5"
"skywrath_mage","Skywrath Mage","726","358","368","0.493","13.3","5.0","5.1","9.1","9521.3","33.4","2.5","262.7","289.3"
"slardar","Slardar","31","11","20","0.355","16.7","5.8","5.2","9.3","14569.8","130.5","11.1","393.5","442.1"
"slark","Slark","235","109","126","0.464","18.3","7.2","4.1","8.1","17222.4","185.5","12.1","464.0","524.5"
"sniper","Sniper","38","15","23","0.395","17.5","6.6","5.7","8.6","18547.4","220.9","15.7","475.9","462.4"
"spectre","Spectre","82","37","45","0.451","17.6","7.4","4.0","10.4","17986.8","221.5","16.5","477.3","497.3"
"spirit_breaker","Spirit Breaker","3","1","2","0.333","9.3","1.7","4.7","3.0","5030.5","36.7","5.3","251.7","263.0"
"storm_spirit","Storm Spirit","156","63","93","0.404","17.4","6.9","4.7","7.5","16089.6","180.7","11.2","438.0","481.3"
"sven","Sven","44","24","20","0.545","16.6","5.9","5.2","9.1","16529.0","164.0","10.5","441.1","434.8"
"templar_assassin","Templar Assassin","229","131","98","0.572","18.4","6.9","3.7","5.9","18749.2","203.4","17.0","530.0","554.2"
"tidehunter","Tidehunter","584","293","291","0.502","15.7","3.2","4.1","10.4","12658.7","108.6","3.8","347.8","394.9"
"shredder","Timbersaw","132","65","67","0.492","17.7","6.6","5.0","8.0","16896.5","187.8","6.8","431.6","471.4"
"tinker","Tinker","290","122","168","0.421","18.9","7.7","4.9","7.8","20639.1","266.5","7.6","517.2","522.7"
"tiny","Tiny","158","78","80","0.494","17.7","7.1","4.3","6.9","20468.4","245.3","10.2","564.1","507.4"
"treant","Treant Protector","551","312","239","0.566","12.5","1.7","4.4","6.3","8279.2","27.0","2.1","233.3","261.1"
"troll_warlord","Troll Warlord","45","22","23","0.489","17.4","4.4","4.1","7.7","16854.1","191.7","15.5","460.9","476.9"
"tusk","Tusk","67","30","37","0.448","13.0","3.4","5.7","9.9","9080.5","41.4","2.2","269.6","304.0"
"undying","Undying","76","35","41","0.461","13.5","3.1","5.1","10.6","10224.7","64.8","5.9","292.2","303.8"
"ursa","Ursa","48","25","23","0.521","16.9","7.5","4.0","6.1","16488.2","157.2","8.8","470.5","492.0"
"vengefulspirit","Vengeful Spirit","336","160","176","0.476","12.7","2.3","5.9","10.2","8861.1","39.3","2.9","256.9","282.5"
"venomancer","Venomancer","154","71","83","0.461","14.7","3.0","5.2","10.3","13580.9","136.8","4.5","385.3","361.0"
"viper","Viper","591","286","305","0.484","16.6","5.9","4.4","8.7","15529.3","158.4","15.9","434.3","446.0"
"visage","Visage","240","137","103","0.571","13.5","5.3","4.4","8.7","11427.4","68.3","3.6","312.3","296.5"
"warlock","Warlock","49","20","29","0.408","13.8","4.1","4.6","7.2","10981.9","85.7","7.3","305.8","309.5"
"weaver","Weaver","285","136","149","0.477","19.0","6.1","3.4","6.9","20347.1","236.0","14.1","518.8","534.9"
"windrunner","Windranger","124","44","80","0.355","15.7","4.9","4.3","7.2","14434.8","150.1","10.5","398.8","409.9"
"witch_doctor","Witch Doctor","251","131","120","0.522","13.0","3.5","4.8","9.7","9293.9","40.7","2.8","260.9","277.8"
"skeleton_king","Wraith King","562","299","263","0.532","15.8","3.9","4.2","9.5","13783.6","115.0","6.8","378.1","406.3"
"zuus","Zeus","38","14","24","0.368","16.5","7.0","5.5","14.3","13367.2","110.6","3.1","357.5","421.6"
