"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","74","35","39","0.473","12.9","2.3","3.8","8.8","8627.2","34.6","2.7","251.2","290.2"
"alchemist","Alchemist","137","68","69","0.496","15.7","2.8","4.3","10.6","14626.3","123.2","3.9","404.5","412.4"
"ancient_apparition","Ancient Apparition","623","302","321","0.485","12.4","3.1","4.3","9.0","8745.2","35.1","3.2","237.8","252.9"
"antimage","Anti Mage","73","37","36","0.507","20.5","6.7","3.0","4.8","24880.5","353.8","20.5","639.7","629.8"
"axe","Axe","142","66","76","0.465","15.6","7.4","5.4","6.7","13641.1","125.4","3.9","399.3","419.5"
"bane","Bane","292","147","145","0.503","12.8","3.1","5.1","8.7","8691.0","28.0","3.4","244.4","269.9"
"batrider","Batrider","629","328","301","0.521","15.9","4.4","4.3","10.4","13164.5","128.9","2.5","365.9","407.9"
"beastmaster","Beastmaster","63","29","34","0.460","14.9","2.4","4.1","9.3","12361.1","110.7","4.1","338.2","354.5"
"bloodseeker","Bloodseeker","44","23","21","0.523","17.5","6.8","4.6","8.0","16492.1","167.6","16.9","469.7","497.5"
"bounty_hunter","Bounty Hunter","52","25","27","0.481","14.2","5.1","5.3","6.9","12380.3","50.5","2.2","341.6","332.6"
"brewmaster","Brewmaster","674","345","329","0.512","16.8","5.3","3.8","9.5","14428.5","132.0","9.2","395.3","446.3"
"bristleback","Bristleback","218","106","112","0.486","16.7","5.1","4.5","8.4","15683.7","163.6","8.5","435.4","449.3"
"centaur","Centaur Warrunner","749","348","401","0.465","15.7","4.1","5.0","9.4","12941.6","120.1","6.6","355.4","400.0"
"chaos_knight","Chaos Knight","23","11","12","0.478","16.4","6.6","4.1","8.6","15819.4","148.7","14.8","447.4","446.3"
"chen","Chen","136","65","71","0.478","12.3","2.3","4.6","7.4","10085.8","78.8","0.8","286.1","250.9"
"clinkz","Clinkz","70","30","40","0.429","18.6","7.0","4.6","5.3","18577.8","202.4","13.7","499.3","538.6"
"rattletrap","Clockwerk","307","151","156","0.492","14.5","4.2","5.7","10.5","11450.9","84.1","4.4","315.0","342.2"
"crystal_maiden","Crystal Maiden","56","30","26","0.536","12.2","2.1","5.3","10.0","8441.4","36.1","0.7","248.8","264.7"
"dark_seer","Dark Seer","423","190","233","0.449","15.6","3.3","4.1","9.8","13803.3","154.8","1.2","389.9","401.0"
"dazzle","Dazzle","348","157","191","0.451","11.9","1.8","4.5","7.3","8204.1","39.3","3.3","241.6","250.2"
"death_prophet","Death Prophet","406","231","175","0.569","18.0","6.1","3.9","7.8","18120.8","208.7","9.1","505.9","519.4"
"disruptor","Disruptor","327","173","154","0.529","12.6","2.7","5.1","11.2","8544.6","30.1","2.6","242.8","268.9"
"doom_bringer","Doom","729","402","327","0.551","16.7","4.5","4.1","9.8","17273.9","136.9","5.4","477.9","449.0"
"dragon_knight","Dragon Knight","332","157","175","0.473","16.6","4.9","4.1","8.3","15761.3","168.6","6.2","444.4","453.4"
"drow_ranger","Drow Ranger","86","47","39","0.547","16.9","4.5","3.9","6.2","17172.7","189.3","13.6","521.6","507.9"
"earthshaker","Earthshaker","445","220","225","0.494","13.0","2.6","4.8","11.3","9435.7","46.6","1.1","256.0","278.1"
"elder_titan","Elder Titan","136","67","69","0.493","15.6","2.8","4.3","11.1","13020.6","115.5","2.7","319.2","351.6"
"ember_spirit","Ember Spirit","387","181","206","0.468","17.7","7.0","4.0","9.1","16842.3","190.4","9.1","462.9","505.0"
"enchantress","Enchantress","349","174","175","0.499","13.5","3.8","4.2","7.2","10827.4","81.8","0.7","304.3","301.8"
"enigma","Enigma","316","176","140","0.557","15.9","2.8","4.3","10.8","15218.4","171.0","8.2","403.5","386.3"
"faceless_void","Faceless Void","496","245","251","0.494","17.1","5.4","4.1","7.9","15501.2","149.3","10.1","424.5","470.8"
"gyrocopter","Gyrocopter","157","76","81","0.484","17.9","6.8","4.0","8.1","19985.8","243.8","16.4","553.4","513.5"
"huskar","Huskar","24","8","16","0.333","16.5","7.0","6.8","6.5","14733.5","136.3","15.6","417.1","444.3"
"invoker","Invoker","673","319","354","0.474","17.0","5.7","4.1","8.2","17256.8","174.9","15.1","479.3","471.1"
"wisp","Io","359","177","182","0.493","12.9","2.5","6.1","9.7","8117.2","25.6","2.2","238.4","288.6"
"jakiro","Jakiro","316","137","179","0.434","13.1","2.4","5.4","9.0","9704.6","63.4","3.2","289.7","304.9"
"juggernaut","Juggernaut","70","40","30","0.571","16.7","5.3","4.5","8.2","15611.0","150.0","8.4","417.5","438.0"
"keeper_of_the_light","Keeper of the Light","90","50","40","0.556","12.9","1.5","3.8","6.7","10644.4","94.6","1.4","300.2","281.8"
"kunkka","Kunkka","123","61","62","0.496","16.2","4.3","4.6","9.4","14619.9","144.7","7.2","384.1","407.5"
"leshrac","Leshrac","140","71","69","0.507","13.5","3.6","5.5","10.0","11097.3","80.5","3.7","321.2","314.2"
"lich","Lich","308","152","156","0.494","13.8","3.1","4.6","8.5","8792.4","34.3","3.0","238.5","308.3"
"life_stealer","Lifestealer","168","70","98","0.417","17.4","5.4","3.6","6.9","17394.8","186.4","16.3","477.3","484.0"
"lina","Lina","28","15","13","0.536","14.1","5.6","4.1","7.2","11649.6","91.5","3.9","358.0","364.5"
