"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","78","49","29","0.628","12.8","2.9","3.8","8.7","9677.8","57.9","4.0","342.9","341.3"
"alchemist","Alchemist","38","16","22","0.421","17.4","5.3","4.5","8.7","24845.0","246.2","3.1","634.8","478.9"
"ancient_apparition","Ancient Apparition","94","42","52","0.447","12.5","3.0","5.2","8.7","10028.1","44.9","2.5","267.1","256.1"
"antimage","Anti Mage","47","31","16","0.660","19.0","6.6","2.5","5.0","21828.5","311.1","18.1","640.4","625.0"
"axe","Axe","11","7","4","0.636","15.2","6.4","4.5","6.6","13293.9","130.7","2.3","394.6","428.6"
"bane","Bane","195","98","97","0.503","12.6","3.2","5.5","9.2","8978.9","25.6","2.9","253.9","263.7"
"batrider","Batrider","49","31","18","0.633","16.3","4.8","4.3","11.9","14754.8","147.5","3.0","400.1","419.5"
"beastmaster","Beastmaster","59","32","27","0.542","14.1","3.6","4.8","9.5","12134.7","103.9","5.5","381.2","362.8"
"bloodseeker","Bloodseeker","4","2","2","0.500","18.0","13.0","4.3","8.0","20470.2","219.8","11.5","567.5","535.3"
"bounty_hunter","Bounty Hunter","35","21","14","0.600","13.6","4.5","5.4","10.1","13098.4","24.5","0.5","379.9","303.9"
"brewmaster","Brewmaster","19","8","11","0.421","16.9","4.6","5.8","9.6","14707.6","135.5","6.2","375.0","420.2"
"bristleback","Bristleback","40","15","25","0.375","14.5","4.2","5.2","6.5","12857.5","132.1","5.9","398.5","399.7"
"broodmother","Broodmother","35","16","19","0.457","17.3","4.3","4.5","5.2","16939.2","216.4","5.0","489.4","497.4"
"centaur","Centaur Warrunner","8","3","5","0.375","12.5","2.8","7.6","6.4","9272.0","61.8","4.4","297.6","300.3"
"chaos_knight","Chaos Knight","22","10","12","0.455","15.3","6.3","5.9","6.5","14351.2","141.5","12.4","406.4","394.2"
"chen","Chen","22","17","5","0.773","12.5","3.7","3.0","8.0","11672.1","100.2","0.5","365.9","287.7"
"clinkz","Clinkz","15","12","3","0.800","19.3","12.7","3.1","6.9","21908.0","205.9","11.6","594.9","557.5"
"rattletrap","Clockwerk","65","25","40","0.385","13.2","3.6","6.1","10.5","10394.6","67.6","13.7","302.0","300.8"
"crystal_maiden","Crystal Maiden","13","7","6","0.538","9.8","1.8","5.9","9.8","7169.7","19.6","1.1","266.8","216.5"
"dark_seer","Dark Seer","140","79","61","0.564","15.7","3.1","4.2","12.3","14603.2","169.7","0.8","410.1","405.0"
"dazzle","Dazzle","224","116","108","0.518","11.4","1.8","4.7","7.0","8296.2","34.5","2.7","255.0","243.1"
"death_prophet","Death Prophet","17","5","12","0.294","16.5","7.3","4.8","7.9","17744.6","186.8","8.4","438.4","417.3"
"disruptor","Disruptor","117","50","67","0.427","12.1","2.8","6.2","10.9","8689.9","27.3","2.0","242.6","251.8"
"doom_bringer","Doom","67","33","34","0.493","15.2","3.9","4.8","9.2","14558.6","116.3","4.7","422.0","393.5"
"dragon_knight","Dragon Knight","83","42","41","0.506","15.5","5.3","4.2","8.3","14531.0","151.5","5.3","444.4","430.5"
"drow_ranger","Drow Ranger","22","14","8","0.636","14.8","4.7","3.0","6.8","14213.3","160.9","13.3","517.0","457.8"
"earth_spirit","Earth Spirit","76","47","29","0.618","13.2","3.1","4.1","12.8","9725.4","38.8","1.4","282.1","300.2"
"earthshaker","Earthshaker","146","62","84","0.425","13.3","3.0","5.8","11.4","10373.0","59.9","2.0","282.8","294.0"
"elder_titan","Elder Titan","6","2","4","0.333","11.7","1.3","5.0","5.5","7763.1","47.3","1.5","221.7","252.3"
"ember_spirit","Ember Spirit","117","50","67","0.427","18.0","7.1","4.3","9.2","19654.5","251.5","9.2","512.7","511.2"
"enchantress","Enchantress","16","10","6","0.625","13.3","5.4","3.1","8.0","11509.9","84.9","4.3","385.8","346.7"
"enigma","Enigma","5","2","3","0.400","14.0","2.8","4.6","8.6","11210.6","110.4","6.4","367.8","362.8"
"faceless_void","Faceless Void","22","16","6","0.727","16.9","2.8","3.5","7.8","14273.5","144.3","7.8","398.4","445.2"
"gyrocopter","Gyrocopter","277","144","133","0.520","17.1","7.4","4.3","9.1","19274.3","240.0","15.3","522.8","472.6"
"huskar","Huskar","7","2","5","0.286","13.6","7.0","7.3","5.0","11090.1","89.7","6.9","353.0","359.0"
"invoker","Invoker","179","112","67","0.626","16.8","7.2","3.8","9.5","16891.7","166.6","15.2","497.7","488.0"
"wisp","Io","50","30","20","0.600","12.9","2.2","6.0","10.4","9007.6","30.4","1.7","267.8","289.9"
"jakiro","Jakiro","55","29","26","0.527","12.6","2.1","5.3","11.1","9841.8","65.1","2.8","298.5","300.8"
"juggernaut","Juggernaut","130","68","62","0.523","17.5","7.5","3.7","6.9","19438.0","240.8","13.8","557.2","514.1"
"keeper_of_the_light","Keeper of the Light","29","15","14","0.517","12.7","1.7","5.0","7.1","10440.2","84.7","1.5","299.1","275.7"
"kunkka","Kunkka","14","8","6","0.571","12.8","3.1","4.6","11.4","10215.4","53.9","1.5","302.9","296.4"
"legion_commander","Legion Commander","10","4","6","0.400","15.2","4.3","4.8","9.7","13347.3","140.3","6.5","402.3","414.1"
"leshrac","Leshrac","3","1","2","0.333","15.7","5.7","4.7","6.3","15217.0","192.7","10.7","514.3","433.0"
"lich","Lich","71","32","39","0.451","13.3","3.6","5.1","9.5","9088.3","28.9","2.2","262.6","298.6"
"life_stealer","Lifestealer","18","9","9","0.500","17.1","7.2","4.2","9.0","17801.6","190.5","13.2","457.3","450.8"
"lina","Lina","84","42","42","0.500","17.0","7.2","5.1","8.9","16642.1","178.8","6.0","443.5","450.1"
"lion","Lion","56","32","24","0.571","12.4","3.2","5.4","8.5","9206.0","28.0","2.4","266.4","269.1"
"lone_druid","Lone Druid","37","22","15","0.595","16.4","4.6","2.6","7.8","15830.4","175.4","7.8","496.2","486.5"
"luna","Luna","15","8","7","0.533","15.5","4.7","3.5","7.3","15268.6","197.2","17.7","519.9","483.5"
"lycan","Lycan","14","8","6","0.571","15.1","4.3","3.9","7.8","14994.3","160.6","9.0","505.9","436.2"
"magnataur","Magnus","35","18","17","0.514","15.8","3.8","5.0","10.4","12501.3","107.7","3.8","348.7","404.0"
"medusa","Medusa","9","5","4","0.556","17.6","5.1","3.7","7.7","18953.3","255.7","11.3","503.4","509.8"
"meepo","Meepo","5","4","1","0.800","20.8","5.8","3.8","4.6","20728.4","291.6","4.6","640.6","758.4"
"mirana","Mirana","24","13","11","0.542","12.8","4.6","3.9","9.6","10756.8","64.1","2.4","341.1","312.2"
"morphling","Morphling","14","3","11","0.214","16.4","5.8","3.4","5.9","16530.4","208.3","14.5","462.9","454.9"
"naga_siren","Naga Siren","15","8","7","0.533","16.1","3.2","2.4","7.7","20723.2","326.9","6.5","530.9","397.7"
"furion","Natures Prophet","41","23","18","0.561","17.1","4.9","4.8","10.4","20350.0","268.5","6.1","542.8","451.5"
"necrolyte","Necrophos","7","5","2","0.714","12.7","6.7","3.4","8.1","11073.2","106.7","11.4","407.6","393.0"
"night_stalker","Night Stalker","84","40","44","0.476","14.7","4.1","5.1","9.5","11951.3","69.1","2.6","320.9","342.1"
"nyx_assassin","Nyx Assassin","32","13","19","0.406","13.9","3.2","5.7","9.9","10431.3","56.4","4.3","270.6","303.1"
"ogre_magi","Ogre Magi","47","18","29","0.383","12.7","2.8","6.0","8.9","9231.1","33.7","2.8","267.7","277.7"
"omniknight","Omniknight","47","21","26","0.447","11.1","1.6","4.3","5.0","7558.2","32.5","2.1","262.9","266.6"
"oracle","Oracle","101","47","54","0.465","12.3","4.7","4.7","7.1","9174.4","30.2","2.3","269.6","256.7"
"obsidian_destroyer","Outworld Devourer","23","13","10","0.565","15.8","8.9","4.0","6.1","15674.7","159.8","17.9","494.8","463.2"
"phantom_assassin","Phantom Assassin","17","4","13","0.235","15.0","6.4","4.8","6.8","13496.9","152.5","6.4","451.5","446.8"
"phantom_lancer","Phantom Lancer","58","28","30","0.483","17.2","5.8","3.3","8.3","17983.3","222.9","10.4","491.5","480.7"
"phoenix","Phoenix","23","12","11","0.522","14.6","4.7","5.0","12.1","12081.7","75.4","4.8","328.4","358.2"
"puck","Puck","29","11","18","0.379","15.7","4.6","5.6","10.5","13542.8","131.5","6.9","392.4","414.9"
"pudge","Pudge","25","12","13","0.480","13.7","7.3","6.3","7.6","11469.3","53.6","2.0","322.8","328.6"
"pugna","Pugna","8","3","5","0.375","12.9","4.4","7.5","7.1","10898.7","87.4","6.9","360.8","327.6"
"queenofpain","Queen of Pain","166","90","76","0.542","17.3","8.6","4.1","9.7","17521.0","182.7","13.1","493.1","488.4"
"razor","Razor","64","26","38","0.406","16.2","5.9","5.1","7.6","15836.5","187.0","15.9","463.0","450.2"
"rubick","Rubick","77","45","32","0.584","12.7","3.2","5.4","10.7","9496.1","42.6","1.9","279.6","281.4"
"sand_king","Sand King","30","16","14","0.533","14.0","3.7","4.5","11.1","10863.9","87.6","1.3","355.0","374.8"
"shadow_demon","Shadow Demon","11","6","5","0.545","11.7","1.9","4.7","9.4","8791.2","32.1","2.0","259.0","231.5"
"nevermore","Shadow Fiend","90","36","54","0.400","16.9","6.1","4.7","6.5","17990.0","237.6","14.3","518.8","485.0"
"shadow_shaman","Shadow Shaman","104","52","52","0.500","12.3","2.9","6.4","10.4","10170.2","61.1","2.1","303.4","270.3"
"silencer","Silencer","59","22","37","0.373","12.6","3.4","5.3","6.6","10116.6","68.1","5.6","291.6","286.2"
"skywrath_mage","Skywrath Mage","20","10","10","0.500","12.7","4.1","5.8","10.5","9673.0","26.1","1.6","277.2","274.2"
"slardar","Slardar","140","63","77","0.450","13.7","2.9","5.2","9.0","10470.7","75.5","6.3","325.7","347.0"
"slark","Slark","59","22","37","0.373","17.7","7.5","3.6","6.5","17095.5","201.3","11.2","489.6","527.1"
"sniper","Sniper","2","1","1","0.500","17.5","5.5","4.5","4.5","20177.9","281.0","15.0","529.0","439.5"
"spectre","Spectre","31","16","15","0.516","17.5","7.3","4.1","13.2","18218.1","224.3","10.4","492.9","498.7"
