"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"spirit_breaker","Spirit Breaker","114","63","51","0.553","13.5","3.6","6.0","11.4","10325.8","50.3","1.6","295.6","307.4"
"storm_spirit","Storm Spirit","9","4","5","0.444","18.9","9.7","5.2","8.8","19665.3","215.0","9.7","507.3","540.0"
"sven","Sven","53","30","23","0.566","15.7","4.9","4.2","8.4","15847.5","188.2","11.3","477.6","452.4"
"templar_assassin","Templar Assassin","85","47","38","0.553","17.9","7.6","3.6","5.9","18655.1","206.2","13.0","548.2","555.2"
"terrorblade","Terrorblade","22","17","5","0.773","16.3","6.7","2.5","8.4","19459.8","238.3","12.4","595.4","493.1"
"tidehunter","Tidehunter","48","20","28","0.417","14.5","2.5","4.6","11.0","11566.4","92.0","3.0","324.7","353.2"
"shredder","Timbersaw","27","9","18","0.333","15.9","6.4","6.5","6.3","14486.2","157.9","3.7","401.4","412.3"
"tinker","Tinker","14","5","9","0.357","16.1","6.0","4.6","7.1","16257.7","199.1","8.0","440.4","434.5"
"tiny","Tiny","75","38","37","0.507","17.0","8.0","4.5","8.1","17672.5","198.2","7.5","490.4","465.0"
"treant","Treant Protector","7","2","5","0.286","9.3","0.9","4.3","3.3","5843.7","26.1","1.0","235.9","218.9"
"troll_warlord","Troll Warlord","3","1","2","0.333","16.3","6.0","4.3","4.0","15428.7","192.0","9.3","423.3","419.7"
"tusk","Tusk","230","123","107","0.535","13.2","3.3","6.3","12.3","10180.5","49.7","1.6","293.9","297.1"
"undying","Undying","127","56","71","0.441","12.2","3.0","5.5","11.4","8818.9","35.2","2.6","268.0","268.4"
"unknown","Unknown","14","6","8","0.429","0.0","0.0","0.0","0.0","8934.9","0.0","0.0","191.3","0.0"
"ursa","Ursa","63","30","33","0.476","16.0","7.9","4.0","6.3","15451.6","155.5","9.3","474.7","472.9"
"vengefulspirit","Vengeful Spirit","193","109","84","0.565","13.4","3.2","5.2","10.9","10976.1","72.0","6.4","328.6","320.4"
"venomancer","Venomancer","14","7","7","0.500","12.6","3.6","6.1","8.6","11099.0","95.2","3.3","342.4","314.4"
"viper","Viper","91","39","52","0.429","16.5","6.6","4.8","8.2","16123.4","163.1","16.6","458.5","452.9"
"visage","Visage","42","24","18","0.571","13.1","5.3","4.7","8.5","11178.8","57.9","2.9","329.2","297.1"
"warlock","Warlock","5","1","4","0.200","13.6","3.4","6.8","8.2","12345.4","98.0","5.6","319.6","310.4"
"weaver","Weaver","11","3","8","0.273","14.5","4.9","4.5","5.0","12560.5","134.4","3.7","406.3","413.7"
"windrunner","Windranger","119","46","73","0.387","15.9","6.4","4.2","6.9","15198.2","151.4","10.6","433.1","430.7"
"winter_wyvern","Winter Wyvern","18","6","12","0.333","11.6","2.3","5.3","7.2","8273.2","40.6","1.3","252.6","248.4"
"witch_doctor","Witch Doctor","109","58","51","0.532","12.0","3.0","5.3","9.6","8878.0","33.3","2.1","265.6","255.4"
"skeleton_king","Wraith King","44","16","28","0.364","16.2","5.0","4.8","9.5","15341.6","155.8","10.4","424.8","442.7"
"zuus","Zeus","50","18","32","0.360","15.3","6.2","4.8","11.2","13506.2","136.1","2.2","381.5","403.2"
