"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","179","84","95","0.469","11.9","2.0","3.7","7.9","6947.7","30.4","2.9","212.2","263.7"
"alchemist","Alchemist","643","309","334","0.481","16.9","4.5","4.1","9.7","18275.1","175.2","9.7","516.9","481.5"
"ancient_apparition","Ancient Apparition","50","23","27","0.460","12.1","3.8","4.6","9.0","7613.7","37.6","6.4","231.6","270.3"
"antimage","Anti Mage","296","145","151","0.490","19.5","5.6","2.8","4.6","20639.5","295.6","18.9","570.0","612.3"
"axe","Axe","15","4","11","0.267","13.1","4.9","7.6","6.1","8933.7","84.8","1.5","310.7","362.5"
"bane","Bane","455","228","227","0.501","12.0","2.6","4.8","7.7","7101.9","24.5","3.4","212.5","256.7"
"batrider","Batrider","507","259","248","0.511","15.3","4.2","4.1","9.9","11669.8","125.3","5.0","339.0","401.0"
"beastmaster","Beastmaster","189","90","99","0.476","15.2","2.6","4.1","9.2","12037.2","125.1","4.6","335.3","375.9"
"bloodseeker","Bloodseeker","13","4","9","0.308","16.5","5.5","5.6","6.5","13075.4","140.6","16.2","364.1","443.1"
"bounty_hunter","Bounty Hunter","302","174","128","0.576","14.7","4.7","4.5","6.8","12075.0","70.2","4.2","362.1","381.2"
"brewmaster","Brewmaster","21","6","15","0.286","14.4","3.0","5.4","7.8","9911.8","101.1","9.0","286.0","354.9"
"bristleback","Bristleback","14","4","10","0.286","13.3","3.6","4.9","6.9","10196.3","118.8","9.4","365.8","389.4"
"broodmother","Broodmother","25","13","12","0.520","17.7","4.9","4.5","5.7","15963.5","194.9","6.8","465.9","520.2"
"centaur","Centaur Warrunner","21","7","14","0.333","14.6","3.6","4.1","6.9","11746.0","125.2","8.9","342.9","379.0"
"chaos_knight","Chaos Knight","133","67","66","0.504","15.4","6.5","5.0","9.0","13677.1","131.9","12.6","403.2","409.9"
"chen","Chen","650","388","262","0.597","12.3","2.6","3.5","7.5","8996.8","81.1","0.8","276.4","269.9"
"clinkz","Clinkz","35","19","16","0.543","17.5","7.1","4.1","4.8","15069.5","167.0","8.8","435.6","527.7"
"rattletrap","Clockwerk","573","271","302","0.473","13.7","4.0","5.0","9.7","9669.3","76.0","5.0","286.4","332.5"
"crystal_maiden","Crystal Maiden","381","207","174","0.543","11.9","2.3","5.3","9.9","7417.3","33.3","1.5","221.9","252.1"
"dark_seer","Dark Seer","949","427","522","0.450","15.2","3.2","4.0","9.2","12194.4","146.3","1.3","352.8","393.2"
"dazzle","Dazzle","40","19","21","0.475","10.7","2.0","4.3","6.6","6617.0","33.4","4.7","219.1","235.5"
"death_prophet","Death Prophet","9","4","5","0.444","14.9","5.0","4.8","7.7","12429.6","125.6","8.6","401.8","426.1"
"disruptor","Disruptor","100","57","43","0.570","12.6","2.5","5.7","12.1","8120.9","28.4","3.1","220.6","255.6"
"doom_bringer","Doom","160","76","84","0.475","15.2","3.8","4.2","8.5","13716.5","119.1","5.1","413.3","412.3"
"dragon_knight","Dragon Knight","602","324","278","0.538","16.2","4.9","3.8","8.5","13871.2","150.5","8.0","411.1","452.5"
"drow_ranger","Drow Ranger","22","9","13","0.409","13.9","4.3","3.9","4.5","11275.1","131.0","10.0","432.6","433.0"
"earthshaker","Earthshaker","179","87","92","0.486","12.0","2.2","4.9","10.4","7610.8","40.8","0.8","217.5","249.8"
"elder_titan","Elder Titan","181","105","76","0.580","14.0","3.6","3.7","10.2","10616.1","100.0","3.5","318.9","353.2"
"enchantress","Enchantress","229","112","117","0.489","12.9","3.4","4.0","7.1","9167.0","79.8","0.9","270.2","293.2"
"enigma","Enigma","199","110","89","0.553","14.5","1.9","3.9","9.4","11802.9","142.8","7.7","354.3","366.4"
"faceless_void","Faceless Void","31","15","16","0.484","16.1","4.1","3.0","5.8","14785.6","180.2","15.0","450.8","477.3"
"gyrocopter","Gyrocopter","753","394","359","0.523","17.0","5.9","4.0","8.1","17123.5","214.5","15.9","490.6","484.7"
"invoker","Invoker","45","24","21","0.533","17.0","6.3","3.8","8.9","15160.6","152.6","18.2","446.4","503.5"
"wisp","Io","394","221","173","0.561","12.5","2.7","5.3","11.2","7522.0","29.5","2.3","233.8","288.1"
"jakiro","Jakiro","445","183","262","0.411","11.8","2.1","5.1","10.0","7285.5","36.3","2.3","206.4","242.0"
"juggernaut","Juggernaut","185","99","86","0.535","15.5","5.6","3.6","7.4","13256.3","133.8","10.8","401.1","424.5"
"keeper_of_the_light","Keeper of the Light","381","176","205","0.462","11.4","1.7","4.4","6.6","8290.3","71.0","1.7","239.2","230.4"
"kunkka","Kunkka","191","77","114","0.403","15.9","4.7","4.4","8.4","13301.7","153.8","8.8","382.0","432.8"
"leshrac","Leshrac","234","103","131","0.440","12.3","3.2","5.9","8.9","8700.8","56.3","3.5","252.3","265.6"
"lich","Lich","85","37","48","0.435","12.5","3.0","4.8","8.4","7742.3","43.4","5.8","231.8","287.0"
"life_stealer","Lifestealer","918","483","435","0.526","16.8","5.8","3.2","7.4","15020.0","161.6","14.8","443.3","484.2"
"lina","Lina","227","88","139","0.388","12.4","4.0","6.4","7.8","8349.9","49.5","1.9","228.0","251.6"
"lion","Lion","75","43","32","0.573","12.7","3.4","4.8","8.1","8073.7","32.7","3.1","233.0","277.1"
"lone_druid","Lone Druid","405","205","200","0.506","16.4","3.1","3.0","6.2","15086.4","181.0","11.2","445.2","467.4"
"luna","Luna","150","68","82","0.453","17.2","5.3","3.8","7.7","17113.0","217.3","17.0","486.4","495.4"
"lycan","Lycan","26","12","14","0.462","14.7","3.5","2.5","4.9","13337.9","143.4","7.4","438.2","415.9"
"magnataur","Magnus","212","82","130","0.387","15.2","3.5","4.4","8.4","11123.3","115.9","5.8","317.1","386.2"
"medusa","Medusa","14","8","6","0.571","17.8","3.1","1.9","6.8","18321.9","261.9","16.6","503.0","527.1"
"meepo","Meepo","9","4","5","0.444","16.4","4.9","5.8","4.8","11697.1","137.9","3.1","414.4","579.3"
"mirana","Mirana","230","125","105","0.543","15.7","5.7","3.5","8.4","13592.4","139.9","10.2","389.3","420.3"
"morphling","Morphling","114","56","58","0.491","18.5","6.9","2.7","6.2","19001.6","243.6","26.1","500.2","517.8"
"naga_siren","Naga Siren","752","381","371","0.507","12.9","2.2","4.0","8.6","9691.3","84.1","3.3","276.6","293.3"
"furion","Natures Prophet","877","436","441","0.497","17.0","3.9","4.3","9.0","16927.0","201.3","5.3","481.3","487.2"
"necrolyte","Necrophos","18","5","13","0.278","15.4","4.4","6.2","9.8","13047.8","153.6","12.9","371.7","408.1"
"night_stalker","Night Stalker","44","26","18","0.591","15.7","6.9","3.8","8.0","11776.0","103.6","9.6","390.5","463.6"
"nyx_assassin","Nyx Assassin","773","414","359","0.536","12.9","2.8","4.8","10.2","7882.6","34.3","2.7","232.0","293.3"
"ogre_magi","Ogre Magi","22","8","14","0.364","11.0","1.5","5.1","8.2","6273.5","14.6","1.9","188.6","221.9"
"omniknight","Omniknight","13","5","8","0.385","11.5","1.2","4.5","5.5","7676.5","56.6","2.5","241.4","260.9"
"obsidian_destroyer","Outworld Devourer","463","250","213","0.540","16.5","5.7","3.8","6.4","14670.4","169.7","28.1","420.6","460.2"
"phantom_assassin","Phantom Assassin","54","26","28","0.481","17.2","6.8","3.4","6.2","16022.9","187.8","13.8","475.0","509.9"
"phantom_lancer","Phantom Lancer","110","47","63","0.427","18.0","4.4","3.1","5.4","18998.3","271.6","14.6","501.5","503.6"
"puck","Puck","579","301","278","0.520","16.2","5.5","4.1","9.9","12761.2","133.3","11.7","372.2","445.9"
"pudge","Pudge","37","22","15","0.595","14.6","7.5","6.1","8.6","10403.1","63.6","5.5","331.0","405.0"
"pugna","Pugna","28","16","12","0.571","13.1","4.5","4.8","7.6","11193.4","109.9","8.4","409.5","367.5"
"queenofpain","Queen of Pain","462","221","241","0.478","16.9","7.1","3.9","7.2","14478.9","161.8","16.0","425.3","487.7"
"razor","Razor","283","157","126","0.555","16.5","6.4","4.3","8.3","14768.0","167.8","18.3","421.6","452.7"
"riki","Riki","16","13","3","0.813","15.7","11.8","2.3","7.3","13882.0","122.4","11.6","543.3","578.3"
"rubick","Rubick","1009","500","509","0.496","12.0","2.4","4.8","9.4","7580.6","39.8","2.7","223.6","257.5"
"sand_king","Sand King","269","133","136","0.494","13.0","2.7","5.1","10.4","8597.1","55.1","2.2","244.9","291.6"
"shadow_demon","Shadow Demon","619","266","353","0.430","11.2","2.2","5.6","8.7","6911.0","29.1","2.7","201.0","222.6"
"nevermore","Shadow Fiend","249","129","120","0.518","17.6","6.4","4.2","6.4","17726.4","237.5","20.3","514.9","525.7"
"shadow_shaman","Shadow Shaman","29","17","12","0.586","11.6","3.0","4.9","9.0","8842.4","61.7","3.0","303.8","279.2"
"silencer","Silencer","65","30","35","0.462","12.2","3.4","5.2","7.7","7827.1","40.8","5.2","230.5","267.5"
"skywrath_mage","Skywrath Mage","45","19","26","0.422","12.8","4.0","4.7","9.0","8246.5","35.7","4.1","231.8","286.7"
"slardar","Slardar","26","14","12","0.538","15.9","5.7","4.3","8.7","12886.6","118.7","12.8","378.6","436.6"
"slark","Slark","105","43","62","0.410","16.8","6.6","4.4","7.3","13211.9","136.9","8.2","379.9","485.8"
"sniper","Sniper","9","6","3","0.667","15.7","6.9","3.7","10.6","13924.1","147.7","15.8","473.0","469.9"
"spectre","Spectre","160","70","90","0.438","17.1","6.6","3.8","10.9","15536.3","194.1","17.4","430.5","486.9"
"spirit_breaker","Spirit Breaker","118","50","68","0.424","13.2","4.3","5.3","8.8","8748.4","58.0","3.6","279.7","341.4"
"storm_spirit","Storm Spirit","288","149","139","0.517","16.9","7.2","4.3","8.7","14273.3","154.9","11.7","414.6","489.0"
"sven","Sven","44","18","26","0.409","14.7","4.4","4.6","7.3","12749.0","139.1","8.7","375.4","389.1"
"templar_assassin","Templar Assassin","183","87","96","0.475","16.8","6.5","4.0","5.7","14827.9","164.5","19.5","447.5","505.5"
"tidehunter","Tidehunter","58","25","33","0.431","13.7","3.2","4.7","11.1","9314.8","74.3","3.8","274.9","339.1"
"shredder","Timbersaw","338","164","174","0.485","16.1","5.8","4.5","7.2","12856.1","144.0","7.5","388.2","463.0"
"tinker","Tinker","111","47","64","0.423","16.4","5.8","4.1","7.5","14867.1","182.2","8.0","424.2","444.2"
"tiny","Tiny","32","15","17","0.469","17.2","6.2","4.6","8.4","17527.4","212.0","10.3","496.4","497.3"
