"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"treant","Treant Protector","301","173","128","0.575","11.3","1.1","3.7","4.6","6515.3","29.9","3.0","210.1","247.5"
"troll_warlord","Troll Warlord","196","99","97","0.505","16.2","4.5","3.9","6.7","14225.3","166.0","16.0","432.7","469.4"
"tusk","Tusk","15","7","8","0.467","12.1","2.5","6.0","11.2","7208.2","40.1","3.8","241.3","292.5"
"undying","Undying","57","21","36","0.368","11.6","2.9","4.9","11.7","7319.4","36.4","3.1","230.8","261.4"
"ursa","Ursa","54","35","19","0.648","16.5","8.5","3.9","6.5","15167.2","145.8","9.9","477.6","495.0"
"vengefulspirit","Vengeful Spirit","239","112","127","0.469","11.8","1.9","5.1","9.6","7264.7","33.6","3.0","227.8","264.6"
"venomancer","Venomancer","74","32","42","0.432","11.6","2.1","5.1","10.8","7815.5","49.0","2.4","239.7","247.3"
"viper","Viper","88","39","49","0.443","15.7","5.9","4.8","8.0","13198.9","137.3","15.9","379.5","428.5"
"visage","Visage","1067","583","484","0.546","12.3","5.1","4.1","8.6","8401.7","38.0","3.1","246.4","266.9"
"warlock","Warlock","36","12","24","0.333","12.6","3.7","4.3","6.1","9361.9","87.5","11.6","292.3","305.9"
"weaver","Weaver","882","443","439","0.502","17.2","6.2","3.3","6.8","15314.8","175.7","12.9","441.5","499.1"
"windrunner","Windranger","348","174","174","0.500","14.6","3.9","3.7","8.3","11542.5","110.3","9.5","322.5","354.8"
"witch_doctor","Witch Doctor","17","8","9","0.471","12.8","3.6","5.1","9.3","8414.1","47.6","4.2","229.5","276.4"
"skeleton_king","Wraith King","9","3","6","0.333","15.9","5.2","5.8","7.7","13262.8","128.7","6.6","369.0","451.6"
"zuus","Zeus","23","9","14","0.391","14.0","6.0","5.4","11.2","9696.3","77.8","5.2","313.0","381.9"
