"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","102","53","49","0.520","12.9","1.9","3.6","9.4","8312.2","32.4","2.5","243.2","287.8"
"alchemist","Alchemist","427","233","194","0.546","15.1","3.4","4.2","12.0","13556.2","101.0","4.3","392.0","392.0"
"ancient_apparition","Ancient Apparition","43","15","28","0.349","13.1","4.1","4.5","8.6","9533.7","48.8","5.8","261.3","283.8"
"antimage","Anti Mage","82","38","44","0.463","19.4","5.8","3.0","4.8","21941.9","299.4","17.2","596.6","598.3"
"axe","Axe","7","1","6","0.143","13.7","5.1","6.1","4.4","9667.8","99.0","1.9","364.6","404.3"
"bane","Bane","191","99","92","0.518","12.3","3.0","4.7","8.4","8261.4","27.5","3.3","247.7","270.3"
"batrider","Batrider","170","83","87","0.488","15.8","4.1","4.5","10.4","12867.2","126.9","4.6","362.2","406.8"
"beastmaster","Beastmaster","65","39","26","0.600","15.0","3.2","3.8","10.1","12269.4","107.0","3.9","379.0","400.3"
"bloodseeker","Bloodseeker","6","3","3","0.500","17.5","6.2","5.0","9.2","16216.2","161.2","12.2","426.5","467.3"
"bounty_hunter","Bounty Hunter","220","121","99","0.550","14.2","4.6","4.5","6.9","12344.8","60.4","3.1","362.9","355.2"
"brewmaster","Brewmaster","16","6","10","0.375","15.5","3.5","5.1","6.5","12417.2","128.1","12.3","333.8","385.5"
"bristleback","Bristleback","215","111","104","0.516","15.9","4.8","4.3","8.2","14665.1","150.4","8.4","433.8","438.2"
"centaur","Centaur Warrunner","14","6","8","0.429","14.1","4.2","4.0","6.4","11855.2","129.6","9.4","379.8","373.3"
"chaos_knight","Chaos Knight","33","21","12","0.636","15.7","6.9","3.6","8.8","15028.6","141.4","16.3","469.4","451.3"
"chen","Chen","293","161","132","0.549","12.1","2.6","3.5","7.6","9795.3","78.3","0.8","302.0","269.1"
"clinkz","Clinkz","147","75","72","0.510","18.2","6.6","3.8","4.2","18311.3","192.1","10.6","516.5","541.5"
"rattletrap","Clockwerk","607","283","324","0.466","14.0","4.2","5.1","9.7","10827.6","80.2","5.5","313.0","337.4"
"crystal_maiden","Crystal Maiden","785","396","389","0.504","12.6","2.2","5.0","9.8","9067.7","46.3","1.2","266.1","277.9"
"dark_seer","Dark Seer","138","50","88","0.362","15.1","2.7","4.2","8.2","13086.8","146.0","1.6","369.5","377.0"
"dazzle","Dazzle","54","27","27","0.500","11.8","2.1","4.2","6.6","7869.9","38.5","4.2","252.2","267.4"
"death_prophet","Death Prophet","53","19","34","0.358","15.9","4.4","4.4","5.7","14719.2","165.7","7.8","434.2","436.9"
"disruptor","Disruptor","72","29","43","0.403","11.7","2.3","5.2","10.7","7552.9","28.5","2.2","225.7","245.6"
"doom_bringer","Doom","172","93","79","0.541","16.5","4.6","4.1","9.6","16837.1","138.0","5.2","467.4","440.2"
