"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"shadow_shaman","Shadow Shaman","3.7","2.4","6.2","69","45","114"
"tiny","Tiny","3.4","2.4","5.8","63","45","108"
"dragon_knight","Dragon Knight","3.8","2.1","5.8","70","38","108"
"queenofpain","Queen of Pain","3.0","2.3","5.3","55","42","97"
"life_stealer","Lifestealer","3.4","1.9","5.3","62","36","98"
"crystal_maiden","Crystal Maiden","4.5","0.5","5.0","84","9","93"
"nevermore","Shadow Fiend","3.2","1.6","4.9","60","30","90"
"spirit_breaker","Spirit Breaker","3.1","1.7","4.8","57","32","89"
"beastmaster","Beastmaster","3.6","1.1","4.7","66","20","86"
"axe","Axe","3.0","1.7","4.7","56","31","87"
"clinkz","Clinkz","2.8","1.7","4.5","52","32","84"
"troll_warlord","Troll Warlord","3.2","1.2","4.4","59","23","82"
"pugna","Pugna","1.5","2.8","4.3","28","52","80"
"undying","Undying","3.0","1.1","4.1","55","20","75"
"phoenix","Phoenix","2.1","1.9","4.1","39","36","75"
"sniper","Sniper","2.5","1.4","3.9","46","26","72"
"dark_seer","Dark Seer","2.9","0.9","3.8","53","17","70"
"luna","Luna","2.1","1.6","3.7","39","29","68"
"leshrac","Leshrac","2.7","1.0","3.7","49","19","68"
"tinker","Tinker","1.6","1.7","3.3","30","31","61"
"obsidian_destroyer","Outworld Devourer","1.8","1.3","3.1","34","24","58"
"windrunner","Windranger","2.8","0.3","3.0","51","5","56"
"enchantress","Enchantress","1.8","1.2","3.0","33","23","56"
"huskar","Huskar","0.9","2.0","2.9","17","37","54"
"slardar","Slardar","1.7","1.2","2.9","31","22","53"
"alchemist","Alchemist","2.4","0.4","2.8","44","7","51"
"riki","Riki","0.7","1.8","2.5","13","33","46"
"lina","Lina","2.2","0.3","2.4","40","5","45"
"tusk","Tusk","1.6","0.8","2.4","30","14","44"
"pudge","Pudge","0.9","1.5","2.4","17","28","45"
"lone_druid","Lone Druid","1.2","1.2","2.4","22","23","45"
"keeper_of_the_light","Keeper of the Light","1.4","0.9","2.3","25","17","42"
"juggernaut","Juggernaut","2.0","0.3","2.3","37","6","43"
"warlock","Warlock","1.0","1.0","2.1","19","19","38"
"night_stalker","Night Stalker","0.7","0.6","1.4","13","12","25"
"kunkka","Kunkka","1.0","0.3","1.3","19","5","24"
"ursa","Ursa","0.6","0.2","0.9","12","4","16"
"chaos_knight","Chaos Knight","0.5","0.4","0.9","9","7","16"
"chen","Chen","0.5","0.4","0.9","10","7","17"
"bounty_hunter","Bounty Hunter","0.5","0.3","0.8","9","5","14"
