"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"brewmaster","Brewmaster","29.3","64.3","93.6","542","1187","1729"
"skywrath_mage","Skywrath Mage","52.1","30.2","82.3","963","558","1521"
"death_prophet","Death Prophet","22.3","58.0","80.3","412","1072","1484"
"razor","Razor","23.9","46.1","70.0","441","851","1292"
"tidehunter","Tidehunter","31.7","38.1","69.8","585","704","1289"
"ogre_magi","Ogre Magi","45.4","21.7","67.1","839","400","1239"
"faceless_void","Faceless Void","22.7","42.9","65.6","419","792","1211"
"viper","Viper","20.1","37.6","57.7","371","695","1066"
"batrider","Batrider","22.3","33.6","55.9","411","621","1032"
"vengefulspirit","Vengeful Spirit","39.1","14.9","54.0","722","276","998"
"centaur","Centaur Warrunner","28.0","25.6","53.6","517","473","990"
"jakiro","Jakiro","30.6","15.7","46.3","565","290","855"
"ancient_apparition","Ancient Apparition","20.7","23.0","43.7","382","425","807"
"puck","Puck","26.4","17.2","43.6","488","317","805"
"slark","Slark","18.0","24.0","42.0","332","444","776"
"naga_siren","Naga Siren","12.3","29.6","41.9","227","547","774"
"lycan","Lycan","12.2","28.0","40.2","225","518","743"
"ember_spirit","Ember Spirit","19.2","20.1","39.3","354","371","725"
"wisp","Io","14.7","23.0","37.7","272","424","696"
"terrorblade","Terrorblade","9.3","27.9","37.2","171","516","687"
"elder_titan","Elder Titan","19.2","15.6","34.8","355","288","643"
"witch_doctor","Witch Doctor","20.4","11.9","32.2","376","219","595"
"earthshaker","Earthshaker","19.7","11.7","31.5","364","217","581"
"furion","Natures Prophet","16.4","11.3","27.7","302","209","511"
"doom_bringer","Doom","12.6","13.8","26.4","233","255","488"
"mirana","Mirana","16.7","9.4","26.0","308","173","481"
"medusa","Medusa","9.8","15.4","25.2","181","285","466"
"sand_king","Sand King","13.0","11.2","24.2","240","207","447"
"legion_commander","Legion Commander","12.0","11.9","23.9","222","220","442"
"invoker","Invoker","13.0","10.1","23.1","240","187","427"
"morphling","Morphling","10.1","12.2","22.4","187","226","413"
"spectre","Spectre","8.7","12.9","21.6","160","239","399"
"rubick","Rubick","14.6","6.6","21.1","269","121","390"
"necrolyte","Necrophos","9.0","11.2","20.2","167","206","373"
"phantom_assassin","Phantom Assassin","10.3","9.5","19.8","190","175","365"
"antimage","Anti Mage","9.4","10.2","19.7","174","189","363"
"visage","Visage","10.0","8.6","18.5","184","158","342"
"enigma","Enigma","10.2","8.2","18.4","188","152","340"
"zuus","Zeus","10.4","7.0","17.4","192","129","321"
"magnataur","Magnus","9.1","6.9","16.0","168","128","296"
"disruptor","Disruptor","10.6","4.9","15.5","195","91","286"
"templar_assassin","Templar Assassin","7.1","8.3","15.4","131","154","285"
"weaver","Weaver","8.4","6.7","15.1","155","124","279"
"skeleton_king","Wraith King","10.0","4.5","14.5","184","84","268"
"venomancer","Venomancer","8.6","6.0","14.5","158","110","268"
"shadow_demon","Shadow Demon","8.7","5.7","14.5","161","106","267"
"lich","Lich","9.6","4.8","14.3","177","88","265"
"storm_spirit","Storm Spirit","8.7","5.4","14.1","161","100","261"
"drow_ranger","Drow Ranger","5.8","8.0","13.8","108","147","255"
"dazzle","Dazzle","8.6","4.4","13.0","158","82","240"
"broodmother","Broodmother","2.6","9.3","11.9","48","171","219"
"bristleback","Bristleback","6.1","4.8","10.9","112","89","201"
"shredder","Timbersaw","7.6","2.9","10.6","141","54","195"
"omniknight","Omniknight","5.5","4.9","10.3","101","90","191"
"silencer","Silencer","5.7","4.7","10.3","105","86","191"
"rattletrap","Clockwerk","7.1","2.9","10.1","132","54","186"
"bane","Bane","6.3","3.0","9.3","117","55","172"
"lion","Lion","6.8","1.8","8.6","125","33","158"
"abaddon","Abaddon","5.0","3.2","8.2","92","59","151"
"meepo","Meepo","2.3","5.9","8.2","42","109","151"
"gyrocopter","Gyrocopter","4.7","3.4","8.1","87","63","150"
"sven","Sven","5.0","2.6","7.6","93","48","141"
"treant","Treant Protector","4.8","2.4","7.2","89","44","133"
"nyx_assassin","Nyx Assassin","4.5","2.7","7.1","83","49","132"
