"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"queenofpain","Queen of Pain","40.3","50.2","90.5","629","783","1412"
"gyrocopter","Gyrocopter","45.6","43.2","88.8","712","674","1386"
"leshrac","Leshrac","27.1","49.2","76.3","423","768","1191"
"undying","Undying","19.1","56.3","75.4","298","879","1177"
"earthshaker","Earthshaker","44.4","25.4","69.8","693","397","1090"
"nevermore","Shadow Fiend","35.6","33.0","68.5","555","515","1070"
"rattletrap","Clockwerk","35.2","26.6","61.8","549","415","964"
"lina","Lina","38.3","20.8","59.1","598","324","922"
"rubick","Rubick","38.9","15.5","54.4","607","242","849"
"wisp","Io","17.2","36.9","54.1","269","576","845"
"storm_spirit","Storm Spirit","24.6","26.9","51.5","384","420","804"
"bounty_hunter","Bounty Hunter","17.2","34.1","51.3","269","532","801"
"phantom_lancer","Phantom Lancer","19.3","31.8","51.1","301","497","798"
"tusk","Tusk","24.8","23.4","48.2","387","366","753"
"dark_seer","Dark Seer","24.3","22.4","46.7","380","349","729"
"dazzle","Dazzle","27.5","18.5","46.0","429","289","718"
"broodmother","Broodmother","7.6","38.0","45.5","118","593","711"
"spirit_breaker","Spirit Breaker","20.9","24.2","45.0","326","377","703"
"winter_wyvern","Winter Wyvern","21.5","21.1","42.6","335","330","665"
"witch_doctor","Witch Doctor","24.0","10.8","34.8","375","168","543"
"viper","Viper","10.2","23.2","33.4","160","362","522"
"visage","Visage","13.4","19.7","33.1","209","307","516"
"lion","Lion","20.9","10.2","31.1","326","160","486"
"disruptor","Disruptor","17.5","11.2","28.7","273","175","448"
"bristleback","Bristleback","14.9","13.4","28.3","233","209","442"
"dragon_knight","Dragon Knight","16.1","10.9","27.0","252","170","422"
"beastmaster","Beastmaster","11.9","13.7","25.6","186","214","400"
"drow_ranger","Drow Ranger","9.1","16.2","25.3","142","253","395"
"ancient_apparition","Ancient Apparition","9.9","15.1","25.0","155","236","391"
"naga_siren","Naga Siren","9.3","15.0","24.3","145","234","379"
"antimage","Anti Mage","9.5","14.7","24.2","148","230","378"
"bloodseeker","Bloodseeker","9.0","14.1","23.1","141","220","361"
"chen","Chen","7.8","14.1","21.9","122","220","342"
"templar_assassin","Templar Assassin","10.8","10.5","21.3","168","164","332"
"shadow_demon","Shadow Demon","11.7","7.9","19.6","183","123","306"
"ember_spirit","Ember Spirit","10.5","8.5","19.0","164","132","296"
"phoenix","Phoenix","9.7","8.0","17.7","151","125","276"
"razor","Razor","8.9","7.6","16.5","139","118","257"
"zuus","Zeus","8.9","6.6","15.5","139","103","242"
"juggernaut","Juggernaut","7.9","6.9","14.9","124","108","232"
"puck","Puck","8.4","4.7","13.1","131","73","204"
"skywrath_mage","Skywrath Mage","9.3","3.7","13.0","145","58","203"
"windrunner","Windranger","9.3","3.7","12.9","145","57","202"
"slark","Slark","6.6","5.9","12.5","103","92","195"
"bane","Bane","8.6","3.1","11.7","134","49","183"
"axe","Axe","5.5","5.3","10.8","86","83","169"
"sand_king","Sand King","7.6","3.0","10.6","118","47","165"
"keeper_of_the_light","Keeper of the Light","6.7","3.8","10.6","105","60","165"
"vengefulspirit","Vengeful Spirit","7.8","2.6","10.4","121","41","162"
"tiny","Tiny","7.4","2.8","10.2","116","43","159"
"furion","Natures Prophet","5.4","4.3","9.7","85","67","152"
"night_stalker","Night Stalker","5.1","4.4","9.5","79","69","148"
"tidehunter","Tidehunter","4.3","5.0","9.3","67","78","145"
"centaur","Centaur Warrunner","5.3","4.0","9.2","82","62","144"
"clinkz","Clinkz","5.1","4.0","9.2","80","63","143"
"invoker","Invoker","5.9","3.3","9.2","92","51","143"
"silencer","Silencer","5.1","4.0","9.1","79","63","142"
"crystal_maiden","Crystal Maiden","7.9","1.2","9.1","123","19","142"
"nyx_assassin","Nyx Assassin","5.6","3.2","8.8","87","50","137"
"huskar","Huskar","2.6","6.1","8.8","41","96","137"
"pugna","Pugna","4.5","4.3","8.8","71","67","138"
"brewmaster","Brewmaster","4.1","3.8","7.9","64","59","123"
"slardar","Slardar","4.5","2.8","7.3","71","43","114"
"enchantress","Enchantress","3.0","4.2","7.2","47","65","112"
"luna","Luna","4.3","2.8","7.1","67","44","111"
"magnataur","Magnus","4.1","2.8","6.9","64","44","108"
"techies","Techies","1.9","4.9","6.9","30","77","107"
"lycan","Lycan","2.7","3.7","6.4","42","58","100"
"life_stealer","Lifestealer","3.0","3.1","6.1","47","49","96"
"enigma","Enigma","3.5","2.4","6.0","55","38","93"
"batrider","Batrider","2.0","3.6","5.6","32","56","88"
"shadow_shaman","Shadow Shaman","3.2","1.2","4.4","50","19","69"
"weaver","Weaver","2.9","1.5","4.4","46","23","69"
"sven","Sven","3.6","0.6","4.2","56","9","65"
"tinker","Tinker","1.6","2.2","3.8","25","34","59"
"treant","Treant Protector","2.9","0.9","3.8","46","14","60"
"legion_commander","Legion Commander","2.8","1.0","3.7","43","15","58"
"morphling","Morphling","2.0","1.3","3.3","32","20","52"
