"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"ursa","Ursa","1.9","1.5","3.3","29","23","52"
"spectre","Spectre","1.4","1.9","3.3","22","30","52"
"lone_druid","Lone Druid","1.5","1.7","3.1","23","26","49"
"omniknight","Omniknight","1.9","1.2","3.1","30","18","48"
"ogre_magi","Ogre Magi","2.4","0.4","2.8","37","7","44"
"phantom_assassin","Phantom Assassin","1.6","1.2","2.8","25","18","43"
"shredder","Timbersaw","1.9","0.9","2.8","29","14","43"
"mirana","Mirana","1.9","0.4","2.3","30","6","36"
"skeleton_king","Wraith King","1.7","0.6","2.3","27","9","36"
"abaddon","Abaddon","1.6","0.6","2.2","25","9","34"
"jakiro","Jakiro","1.9","0.3","2.2","29","5","34"
"medusa","Medusa","0.7","1.3","2.0","11","20","31"
"faceless_void","Faceless Void","1.0","0.8","1.9","16","13","29"
"sniper","Sniper","1.2","0.6","1.8","19","9","28"
"kunkka","Kunkka","1.2","0.6","1.8","19","9","28"
"meepo","Meepo","0.2","1.3","1.5","3","21","24"
"pudge","Pudge","1.0","0.5","1.5","15","8","23"
"obsidian_destroyer","Outworld Devourer","0.8","0.6","1.4","13","9","22"
"alchemist","Alchemist","1.2","0.3","1.4","18","4","22"
"warlock","Warlock","1.0","0.4","1.4","15","7","22"
"troll_warlord","Troll Warlord","0.7","0.5","1.2","11","8","19"
"chaos_knight","Chaos Knight","0.5","0.6","1.2","8","10","18"
"lich","Lich","1.0","0.3","1.2","15","4","19"
"venomancer","Venomancer","0.8","0.3","1.1","13","4","17"
"doom_bringer","Doom","0.6","0.1","0.7","10","1","11"
"necrolyte","Necrophos","0.1","0.2","0.3","2","3","5"
"elder_titan","Elder Titan","0.3","0.0","0.3","4","0","4"
"riki","Riki","0.3","0.1","0.3","4","1","5"
"terrorblade","Terrorblade","0.1","0.1","0.2","2","1","3"
"death_prophet","Death Prophet","0.1","0.0","0.1","2","0","2"
"unknown","Unknown","0.0","0.1","0.1","0","1","1"
