"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"chaos_knight","Chaos Knight","12.7","5.2","17.9","220","90","310"
"windrunner","Windranger","13.8","4.0","17.8","240","69","309"
"enigma","Enigma","8.4","9.2","17.6","146","160","306"
"visage","Visage","11.1","6.3","17.3","192","109","301"
"enchantress","Enchantress","7.5","9.5","17.0","130","165","295"
"beastmaster","Beastmaster","9.3","6.2","15.5","161","108","269"
"sand_king","Sand King","10.4","4.5","14.9","181","78","259"
"dragon_knight","Dragon Knight","9.0","5.3","14.3","156","92","248"
"faceless_void","Faceless Void","6.0","7.4","13.4","104","128","232"
"silencer","Silencer","5.5","5.9","11.5","96","103","199"
"night_stalker","Night Stalker","6.2","5.1","11.2","107","88","195"
"sven","Sven","6.1","4.5","10.5","105","78","183"
"kunkka","Kunkka","5.6","3.3","8.9","97","58","155"
"disruptor","Disruptor","4.8","3.2","8.0","83","56","139"
"nevermore","Shadow Fiend","6.2","1.5","7.7","108","26","134"
"venomancer","Venomancer","5.1","1.8","7.0","89","32","121"
"earthshaker","Earthshaker","5.1","1.7","6.9","89","30","119"
"clinkz","Clinkz","4.1","2.7","6.7","71","46","117"
"naga_siren","Naga Siren","3.5","3.0","6.5","60","52","112"
"tidehunter","Tidehunter","4.0","2.2","6.2","69","39","108"
"lion","Lion","5.6","0.5","6.1","97","8","105"
"shadow_shaman","Shadow Shaman","4.3","1.6","5.9","75","27","102"
"warlock","Warlock","3.3","2.2","5.5","57","39","96"
"vengefulspirit","Vengeful Spirit","4.6","0.7","5.4","80","13","93"
"skywrath_mage","Skywrath Mage","2.6","2.7","5.2","45","46","91"
"obsidian_destroyer","Outworld Devourer","2.2","2.6","4.8","38","45","83"
"tiny","Tiny","3.2","1.5","4.7","55","26","81"
"treant","Treant Protector","2.4","2.0","4.4","42","35","77"
"invoker","Invoker","3.1","1.3","4.3","53","22","75"
"broodmother","Broodmother","1.2","2.8","4.0","21","48","69"
"ancient_apparition","Ancient Apparition","2.7","1.3","4.0","46","23","69"
"spectre","Spectre","2.5","1.2","3.7","44","20","64"
"morphling","Morphling","2.4","1.2","3.5","41","20","61"
"lycan","Lycan","2.0","1.2","3.2","35","21","56"
"slark","Slark","1.5","1.6","3.1","26","27","53"
"phantom_assassin","Phantom Assassin","2.1","0.5","2.6","36","9","45"
"doom_bringer","Doom","1.9","0.6","2.5","33","10","43"
"crystal_maiden","Crystal Maiden","1.9","0.3","2.2","33","5","38"
"ogre_magi","Ogre Magi","1.6","0.4","2.0","28","7","35"
"mirana","Mirana","1.8","0.2","2.0","31","3","34"
"drow_ranger","Drow Ranger","1.2","0.6","1.8","21","11","32"
"riki","Riki","1.2","0.6","1.7","20","10","30"
"dazzle","Dazzle","1.0","0.4","1.4","18","7","25"
"razor","Razor","1.0","0.3","1.3","17","5","22"
"ursa","Ursa","0.9","0.4","1.3","16","7","23"
"pudge","Pudge","1.0","0.1","1.2","18","2","20"
"axe","Axe","1.0","0.1","1.1","17","2","19"
"omniknight","Omniknight","0.8","0.2","1.0","14","4","18"
"slardar","Slardar","0.7","0.1","0.8","12","2","14"
"witch_doctor","Witch Doctor","0.7","0.0","0.7","13","0","13"
"pugna","Pugna","0.5","0.2","0.7","8","4","12"
"necrolyte","Necrophos","0.5","0.2","0.7","8","4","12"
"zuus","Zeus","0.7","0.1","0.7","12","1","13"
"sniper","Sniper","0.7","0.0","0.7","12","0","12"
"meepo","Meepo","0.2","0.4","0.6","4","7","11"
"lich","Lich","0.6","0.0","0.6","11","0","11"
"death_prophet","Death Prophet","0.3","0.1","0.4","5","2","7"
"shredder","Timbersaw","0.3","0.1","0.4","5","2","7"
"tusk","Tusk","0.3","0.1","0.4","6","1","7"
"bristleback","Bristleback","0.3","0.0","0.3","6","0","6"
"medusa","Medusa","0.1","0.1","0.2","2","1","3"
"viper","Viper","0.2","0.0","0.2","3","0","3"
"huskar","Huskar","0.1","0.0","0.1","1","0","1"
"skeleton_king","Wraith King","0.1","0.0","0.1","2","0","2"
"bloodseeker","Bloodseeker","0.1","0.0","0.1","2","0","2"
"spirit_breaker","Spirit Breaker","0.1","0.1","0.1","1","1","2"
