"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"batrider","Batrider","24.0","76.0","99.9","416","1318","1734"
"nyx_assassin","Nyx Assassin","33.7","61.7","95.3","584","1070","1654"
"magnataur","Magnus","49.1","41.2","90.3","852","714","1566"
"keeper_of_the_light","Keeper of the Light","39.1","50.4","89.5","678","874","1552"
"life_stealer","Lifestealer","41.2","48.0","89.2","714","833","1547"
"dark_seer","Dark Seer","44.9","42.8","87.7","779","743","1522"
"shadow_demon","Shadow Demon","54.6","30.5","85.1","948","529","1477"
"lone_druid","Lone Druid","38.1","43.8","81.9","661","760","1421"
"rubick","Rubick","54.1","23.3","77.5","939","405","1344"
"wisp","Io","16.3","58.3","74.6","283","1012","1295"
"gyrocopter","Gyrocopter","42.0","29.0","71.0","728","503","1231"
"queenofpain","Queen of Pain","31.1","27.4","58.5","540","475","1015"
"furion","Natures Prophet","29.6","26.0","55.6","513","451","964"
"puck","Puck","21.7","26.1","47.8","376","453","829"
"leshrac","Leshrac","25.4","20.9","46.3","441","363","804"
"rattletrap","Clockwerk","24.7","18.0","42.7","428","313","741"
"chen","Chen","16.4","25.2","41.6","284","437","721"
"bane","Bane","22.6","17.5","40.1","392","304","696"
"phantom_lancer","Phantom Lancer","14.6","23.7","38.3","254","411","665"
"antimage","Anti Mage","15.2","18.9","34.1","264","328","592"
"luna","Luna","17.1","16.7","33.8","296","290","586"
"lina","Lina","19.5","13.9","33.5","339","242","581"
"weaver","Weaver","14.5","17.2","31.7","252","298","550"
"templar_assassin","Templar Assassin","13.8","17.7","31.5","240","307","547"
"undying","Undying","8.8","20.7","29.5","152","359","511"
"jakiro","Jakiro","18.1","10.5","28.6","314","183","497"
"juggernaut","Juggernaut","12.7","14.2","26.9","221","246","467"
"storm_spirit","Storm Spirit","10.4","12.6","23.1","181","219","400"
"tinker","Tinker","8.0","12.6","20.5","138","218","356"
"bounty_hunter","Bounty Hunter","8.8","11.6","20.4","153","201","354"
"alchemist","Alchemist","9.4","10.1","19.5","163","175","338"
"brewmaster","Brewmaster","8.8","10.5","19.3","153","182","335"
