"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"razor","Razor","10.9","7.9","18.7","178","129","307"
"invoker","Invoker","9.1","6.0","15.1","149","99","248"
"slark","Slark","6.0","5.7","11.8","99","94","193"
"batrider","Batrider","5.9","5.0","10.9","97","82","179"
"skeleton_king","Wraith King","6.6","4.1","10.7","108","68","176"
"visage","Visage","5.9","4.3","10.2","97","70","167"
"silencer","Silencer","5.6","4.5","10.1","92","74","166"
"venomancer","Venomancer","5.0","4.2","9.2","82","69","151"
"vengefulspirit","Vengeful Spirit","6.8","1.9","8.7","112","31","143"
"dragon_knight","Dragon Knight","5.5","3.2","8.7","90","52","142"
"lion","Lion","6.5","2.1","8.6","106","35","141"
"bristleback","Bristleback","4.7","3.7","8.4","77","60","137"
"ogre_magi","Ogre Magi","6.1","2.2","8.3","100","36","136"
"sven","Sven","4.7","3.1","7.8","77","51","128"
"spectre","Spectre","3.8","3.6","7.4","62","59","121"
"furion","Natures Prophet","4.3","3.1","7.4","71","50","121"
"clinkz","Clinkz","3.1","4.0","7.1","51","65","116"
"skywrath_mage","Skywrath Mage","6.0","0.9","6.8","98","14","112"
"ursa","Ursa","4.7","2.1","6.8","77","34","111"
"magnataur","Magnus","3.5","2.9","6.4","57","48","105"
"nyx_assassin","Nyx Assassin","4.5","1.8","6.2","73","29","102"
"jakiro","Jakiro","5.1","0.9","6.0","84","15","99"
"phoenix","Phoenix","4.5","1.5","6.0","74","25","99"
"leshrac","Leshrac","4.5","1.3","5.8","73","22","95"
"legion_commander","Legion Commander","3.8","1.8","5.7","63","30","93"
"naga_siren","Naga Siren","2.3","3.4","5.6","37","55","92"
"meepo","Meepo","1.8","3.8","5.6","30","62","92"
"axe","Axe","2.9","2.7","5.6","47","44","91"
"abaddon","Abaddon","4.0","1.3","5.3","65","22","87"
"shadow_demon","Shadow Demon","3.7","0.9","4.6","61","15","76"
"shadow_shaman","Shadow Shaman","3.6","1.0","4.6","59","16","75"
"necrolyte","Necrophos","2.7","1.8","4.5","45","29","74"
"drow_ranger","Drow Ranger","2.4","1.8","4.2","40","29","69"
"luna","Luna","2.9","1.2","4.1","48","20","68"
"lycan","Lycan","2.1","2.0","4.0","34","32","66"
"omniknight","Omniknight","2.7","1.3","4.0","44","21","65"
"zuus","Zeus","2.9","0.9","3.8","47","15","62"
"chaos_knight","Chaos Knight","2.6","1.0","3.6","43","16","59"
"brewmaster","Brewmaster","2.7","0.9","3.5","44","14","58"
"crystal_maiden","Crystal Maiden","2.6","0.2","2.8","43","3","46"
"centaur","Centaur Warrunner","2.3","0.5","2.7","37","8","45"
"storm_spirit","Storm Spirit","1.6","0.4","2.1","27","7","34"
"shredder","Timbersaw","1.9","0.2","2.1","31","4","35"
"mirana","Mirana","1.5","0.4","2.0","25","7","32"
"tidehunter","Tidehunter","1.6","0.3","2.0","27","5","32"
"lone_druid","Lone Druid","1.3","0.7","2.0","21","11","32"
"sand_king","Sand King","1.5","0.4","1.9","25","6","31"
"medusa","Medusa","0.9","0.9","1.8","15","15","30"
"phantom_assassin","Phantom Assassin","1.5","0.4","1.8","24","6","30"
"death_prophet","Death Prophet","1.2","0.4","1.6","20","6","26"
"puck","Puck","1.0","0.5","1.5","16","9","25"
"keeper_of_the_light","Keeper of the Light","1.0","0.5","1.5","16","9","25"
"chen","Chen","1.0","0.4","1.4","16","7","23"
"enchantress","Enchantress","0.8","0.6","1.4","13","10","23"
"pudge","Pudge","1.0","0.4","1.4","16","7","23"
"weaver","Weaver","1.0","0.1","1.2","17","2","19"
"life_stealer","Lifestealer","0.9","0.3","1.2","14","5","19"
"morphling","Morphling","0.6","0.4","1.0","10","7","17"
"pugna","Pugna","0.7","0.3","1.0","11","5","16"
"elder_titan","Elder Titan","0.9","0.1","0.9","14","1","15"
"tinker","Tinker","0.7","0.1","0.8","11","2","13"
"treant","Treant Protector","0.6","0.0","0.6","10","0","10"
"enigma","Enigma","0.5","0.1","0.6","9","1","10"
"bloodseeker","Bloodseeker","0.1","0.4","0.5","2","6","8"
"sniper","Sniper","0.4","0.0","0.4","6","0","6"
"warlock","Warlock","0.4","0.1","0.4","6","1","7"
"techies","Techies","0.2","0.2","0.4","3","4","7"
"troll_warlord","Troll Warlord","0.2","0.0","0.2","4","0","4"
"kunkka","Kunkka","0.1","0.1","0.2","2","1","3"
"faceless_void","Faceless Void","0.1","0.1","0.2","2","1","3"
"obsidian_destroyer","Outworld Devourer","0.2","0.0","0.2","4","0","4"
"riki","Riki","0.1","0.0","0.1","2","0","2"
