"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"tusk","Tusk","51.7","41.7","93.4","847","684","1531"
"doom_bringer","Doom","17.9","74.0","91.9","293","1213","1506"
"queenofpain","Queen of Pain","46.6","42.6","89.3","764","699","1463"
"nevermore","Shadow Fiend","36.8","50.6","87.4","603","830","1433"
"dark_seer","Dark Seer","33.3","52.7","86.0","545","864","1409"
"winter_wyvern","Winter Wyvern","42.3","38.3","80.6","694","627","1321"
"dazzle","Dazzle","42.8","34.0","76.9","702","558","1260"
"gyrocopter","Gyrocopter","35.2","30.8","66.0","577","504","1081"
"ember_spirit","Ember Spirit","33.1","32.0","65.1","543","524","1067"
"slardar","Slardar","32.8","31.9","64.7","538","523","1061"
"undying","Undying","23.9","37.9","61.7","391","621","1012"
"night_stalker","Night Stalker","26.4","32.5","58.9","433","532","965"
"wisp","Io","15.7","41.4","57.1","257","679","936"
"bane","Bane","32.2","17.4","49.5","527","285","812"
"spirit_breaker","Spirit Breaker","23.6","25.4","48.9","386","416","802"
"ancient_apparition","Ancient Apparition","19.8","26.7","46.4","324","437","761"
"broodmother","Broodmother","8.9","33.7","42.6","146","553","699"
"windrunner","Windranger","22.6","17.2","39.8","370","282","652"
"alchemist","Alchemist","15.8","23.2","39.0","259","381","640"
"earthshaker","Earthshaker","23.6","13.1","36.7","386","215","601"
"lina","Lina","23.0","13.4","36.4","377","219","596"
"templar_assassin","Templar Assassin","15.0","18.9","33.9","246","309","555"
"rattletrap","Clockwerk","17.3","16.4","33.7","284","269","553"
"juggernaut","Juggernaut","16.7","16.8","33.5","274","275","549"
"disruptor","Disruptor","19.8","10.9","30.7","324","179","503"
"huskar","Huskar","6.4","21.5","27.9","105","352","457"
"tiny","Tiny","18.1","6.8","24.9","296","112","408"
"rubick","Rubick","17.6","7.2","24.8","289","118","407"
"lich","Lich","13.9","10.3","24.2","228","168","396"
"viper","Viper","10.4","12.3","22.8","171","202","373"
"phantom_lancer","Phantom Lancer","8.8","13.3","22.1","145","218","363"
"bounty_hunter","Bounty Hunter","9.8","11.5","21.3","160","189","349"
"beastmaster","Beastmaster","11.1","9.9","21.0","182","163","345"
"antimage","Anti Mage","7.7","12.3","20.1","127","202","329"
"witch_doctor","Witch Doctor","12.6","6.2","18.8","207","101","308"
