"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"visage","Visage","43.3","44.6","87.9","566","583","1149"
"rattletrap","Clockwerk","44.5","38.8","83.3","582","507","1089"
"elder_titan","Elder Titan","21.3","60.2","81.5","278","787","1065"
"crystal_maiden","Crystal Maiden","56.6","19.6","76.2","740","256","996"
"shredder","Timbersaw","28.8","45.6","74.4","377","596","973"
"life_stealer","Lifestealer","27.1","38.9","66.0","354","508","862"
"venomancer","Venomancer","33.0","32.2","65.2","431","421","852"
"alchemist","Alchemist","31.2","31.6","62.8","408","413","821"
"obsidian_destroyer","Outworld Devourer","15.2","46.1","61.3","199","602","801"
"furion","Natures Prophet","28.6","27.0","55.6","374","353","727"
"weaver","Weaver","25.9","28.8","54.7","339","376","715"
"lich","Lich","16.6","36.0","52.6","217","470","687"
"rubick","Rubick","36.3","15.6","51.9","474","204","678"
"pugna","Pugna","13.8","37.3","51.2","181","488","669"
"mirana","Mirana","35.1","15.3","50.4","459","200","659"
"chen","Chen","21.1","26.2","47.4","276","343","619"
"naga_siren","Naga Siren","15.5","25.9","41.3","202","338","540"
"puck","Puck","16.8","24.1","40.9","219","315","534"
"luna","Luna","21.4","15.5","37.0","280","203","483"
"storm_spirit","Storm Spirit","17.7","19.4","37.0","231","253","484"
"batrider","Batrider","12.1","23.4","35.5","158","306","464"
"bounty_hunter","Bounty Hunter","15.9","18.7","34.7","208","245","453"
"dragon_knight","Dragon Knight","18.7","15.4","34.1","245","201","446"
"nyx_assassin","Nyx Assassin","18.1","15.1","33.2","236","198","434"
"bristleback","Bristleback","15.6","17.4","33.1","204","228","432"
"gyrocopter","Gyrocopter","14.2","15.6","29.8","185","204","389"
"invoker","Invoker","16.6","12.1","28.7","217","158","375"
"enchantress","Enchantress","14.4","14.0","28.4","188","183","371"
"bane","Bane","13.8","14.5","28.3","180","190","370"
"windrunner","Windranger","21.8","3.9","25.7","285","51","336"
"viper","Viper","10.9","14.2","25.0","142","185","327"
"night_stalker","Night Stalker","11.2","11.7","23.0","147","153","300"
"doom_bringer","Doom","12.1","10.6","22.7","158","139","297"
"dark_seer","Dark Seer","10.0","10.9","21.0","131","143","274"
"clinkz","Clinkz","10.5","9.9","20.4","137","129","266"
"earthshaker","Earthshaker","13.8","6.0","19.8","181","78","259"
"wisp","Io","8.6","10.6","19.2","112","139","251"
"slark","Slark","5.7","13.5","19.2","75","176","251"
"razor","Razor","6.1","12.9","19.0","80","168","248"
"lone_druid","Lone Druid","10.2","8.7","18.9","133","114","247"
"shadow_demon","Shadow Demon","11.6","6.7","18.3","152","87","239"
"antimage","Anti Mage","5.9","9.6","15.5","77","126","203"
"abaddon","Abaddon","7.0","8.3","15.4","92","109","201"
"kunkka","Kunkka","7.4","7.0","14.5","97","92","189"
"queenofpain","Queen of Pain","8.3","5.5","13.8","109","72","181"
"nevermore","Shadow Fiend","7.7","5.0","12.6","100","65","165"
"templar_assassin","Templar Assassin","5.7","6.6","12.3","75","86","161"
"juggernaut","Juggernaut","7.3","4.7","12.0","96","61","157"
"enigma","Enigma","6.7","4.7","11.3","87","61","148"
"magnataur","Magnus","7.3","3.4","10.7","95","45","140"
"leshrac","Leshrac","7.8","2.8","10.6","102","37","139"
"vengefulspirit","Vengeful Spirit","8.3","1.9","10.3","109","25","134"
"lion","Lion","7.0","1.4","8.4","92","18","110"
"sand_king","Sand King","6.4","1.9","8.3","84","25","109"
"disruptor","Disruptor","5.2","2.2","7.4","68","29","97"
"slardar","Slardar","4.7","2.5","7.2","61","33","94"
"death_prophet","Death Prophet","4.0","3.1","7.1","52","41","93"
"beastmaster","Beastmaster","4.9","2.0","6.9","64","26","90"
"shadow_shaman","Shadow Shaman","4.5","2.1","6.6","59","27","86"
"spectre","Spectre","3.5","2.6","6.1","46","34","80"
"dazzle","Dazzle","3.9","1.8","5.7","51","24","75"
"troll_warlord","Troll Warlord","2.3","3.1","5.4","30","41","71"
"keeper_of_the_light","Keeper of the Light","3.4","1.8","5.2","44","24","68"
"ancient_apparition","Ancient Apparition","3.3","1.8","5.1","43","24","67"
"tinker","Tinker","2.8","2.1","4.9","37","27","64"
"tiny","Tiny","3.3","1.2","4.5","43","16","59"
"lycan","Lycan","2.5","1.7","4.2","33","22","55"
"chaos_knight","Chaos Knight","2.4","1.6","4.1","32","21","53"
"treant","Treant Protector","2.5","1.5","4.0","33","19","52"
"necrolyte","Necrophos","1.8","1.7","3.4","23","22","45"
"undying","Undying","2.4","0.9","3.3","31","12","43"
"medusa","Medusa","1.8","1.3","3.1","24","17","41"
"tidehunter","Tidehunter","2.8","0.2","2.9","36","2","38"
"morphling","Morphling","2.0","0.8","2.8","26","11","37"
"lina","Lina","2.0","0.5","2.4","26","6","32"
"silencer","Silencer","1.7","0.4","2.1","22","5","27"
"pudge","Pudge","1.7","0.2","1.9","22","3","25"
"jakiro","Jakiro","1.2","0.5","1.8","16","7","23"
"brewmaster","Brewmaster","1.1","0.5","1.7","15","7","22"
"riki","Riki","1.2","0.4","1.6","16","5","21"
"ursa","Ursa","1.1","0.5","1.5","14","6","20"
"skywrath_mage","Skywrath Mage","1.2","0.2","1.5","16","3","19"
"omniknight","Omniknight","0.7","0.7","1.4","9","9","18"
"centaur","Centaur Warrunner","0.9","0.1","1.0","12","1","13"
"phantom_assassin","Phantom Assassin","0.8","0.2","1.0","11","2","13"
"phantom_lancer","Phantom Lancer","0.8","0.2","1.0","10","3","13"
"drow_ranger","Drow Ranger","0.8","0.2","0.9","10","2","12"
"huskar","Huskar","0.3","0.5","0.8","4","6","10"
"witch_doctor","Witch Doctor","0.7","0.2","0.8","9","2","11"
"skeleton_king","Wraith King","0.4","0.3","0.7","5","4","9"
"tusk","Tusk","0.6","0.1","0.7","8","1","9"
"ogre_magi","Ogre Magi","0.7","0.0","0.7","9","0","9"
"sven","Sven","0.7","0.0","0.7","9","0","9"
"sniper","Sniper","0.5","0.1","0.6","7","1","8"
"zuus","Zeus","0.5","0.1","0.6","7","1","8"
