"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"spirit_breaker","Spirit Breaker","5.0","2.2","7.1","111","49","160"
"disruptor","Disruptor","4.1","2.8","6.8","91","62","153"
"morphling","Morphling","4.6","2.0","6.6","104","45","149"
"viper","Viper","3.7","1.6","5.4","84","36","120"
"lich","Lich","3.6","1.2","4.8","81","27","108"
"silencer","Silencer","2.6","2.1","4.7","59","47","106"
"ursa","Ursa","2.3","2.0","4.3","52","45","97"
"undying","Undying","2.4","1.3","3.7","53","29","82"
"venomancer","Venomancer","3.2","0.3","3.5","71","7","78"
"lion","Lion","3.1","0.2","3.3","69","4","73"
"phantom_assassin","Phantom Assassin","2.1","1.0","3.1","48","22","70"
"tidehunter","Tidehunter","2.4","0.5","2.9","54","12","66"
"ancient_apparition","Ancient Apparition","2.0","0.7","2.7","45","15","60"
"skywrath_mage","Skywrath Mage","1.9","0.7","2.6","43","15","58"
"sven","Sven","2.0","0.6","2.5","44","13","57"
"invoker","Invoker","1.9","0.6","2.5","43","14","57"
"night_stalker","Night Stalker","1.8","0.4","2.3","41","10","51"
"warlock","Warlock","1.4","0.9","2.3","31","21","52"
"faceless_void","Faceless Void","1.3","0.9","2.2","30","20","50"
"clinkz","Clinkz","1.5","0.7","2.2","34","15","49"
"tiny","Tiny","1.3","0.7","2.0","29","15","44"
"pudge","Pudge","1.6","0.4","2.0","36","8","44"
"dazzle","Dazzle","1.7","0.3","2.0","38","7","45"
"broodmother","Broodmother","1.1","0.6","1.7","24","14","38"
"pugna","Pugna","1.2","0.4","1.6","27","9","36"
"shadow_shaman","Shadow Shaman","1.2","0.2","1.5","28","5","33"
"lycan","Lycan","1.1","0.3","1.4","25","7","32"
"slardar","Slardar","1.2","0.2","1.3","26","4","30"
"centaur","Centaur Warrunner","0.9","0.4","1.3","20","9","29"
"drow_ranger","Drow Ranger","0.9","0.4","1.2","20","8","28"
"brewmaster","Brewmaster","0.8","0.3","1.2","19","7","26"
"riki","Riki","0.7","0.3","1.0","16","6","22"
"ogre_magi","Ogre Magi","0.9","0.1","1.0","21","2","23"
"zuus","Zeus","0.9","0.1","1.0","20","2","22"
"medusa","Medusa","0.6","0.3","0.9","14","6","20"
"tusk","Tusk","0.7","0.1","0.8","15","2","17"
"necrolyte","Necrophos","0.7","0.1","0.8","16","2","18"
"bloodseeker","Bloodseeker","0.5","0.2","0.8","12","5","17"
"bristleback","Bristleback","0.6","0.2","0.8","14","4","18"
"witch_doctor","Witch Doctor","0.8","0.0","0.8","17","1","18"
"axe","Axe","0.6","0.2","0.8","14","4","18"
"meepo","Meepo","0.4","0.3","0.7","9","6","15"
"omniknight","Omniknight","0.6","0.1","0.7","13","3","16"
"skeleton_king","Wraith King","0.4","0.1","0.5","9","3","12"
"death_prophet","Death Prophet","0.4","0.1","0.4","8","2","10"
"sniper","Sniper","0.4","0.0","0.4","8","0","8"
