"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"batrider","Batrider","21.1","78.7","99.7","472","1764","2236"
"dark_seer","Dark Seer","39.7","47.0","86.7","890","1053","1943"
"life_stealer","Lifestealer","38.4","44.6","83.1","862","1001","1863"
"visage","Visage","44.5","38.3","82.8","998","859","1857"
"wisp","Io","16.6","64.4","81.0","373","1444","1817"
"obsidian_destroyer","Outworld Devourer","19.4","53.5","72.9","436","1199","1635"
"weaver","Weaver","36.7","31.4","68.2","823","705","1528"
"furion","Natures Prophet","36.3","30.6","66.9","813","686","1499"
"rubick","Rubick","41.7","22.8","64.6","936","512","1448"
"nyx_assassin","Nyx Assassin","32.4","31.6","64.0","726","709","1435"
"gyrocopter","Gyrocopter","31.0","32.1","63.2","696","720","1416"
"naga_siren","Naga Siren","31.0","32.2","63.2","695","722","1417"
"alchemist","Alchemist","26.9","30.2","57.1","604","676","1280"
"puck","Puck","23.9","29.4","53.3","536","659","1195"
"chen","Chen","27.0","25.9","52.9","605","581","1186"
"shadow_demon","Shadow Demon","25.7","21.1","46.8","577","472","1049"
"lone_druid","Lone Druid","16.5","27.5","44.0","371","616","987"
"rattletrap","Clockwerk","24.1","18.1","42.2","540","406","946"
"queenofpain","Queen of Pain","19.3","22.2","41.4","432","497","929"
"dragon_knight","Dragon Knight","24.9","15.9","40.8","559","356","915"
"treant","Treant Protector","12.3","22.2","34.5","276","498","774"
"bane","Bane","19.0","14.9","33.9","426","334","760"
"keeper_of_the_light","Keeper of the Light","15.6","18.0","33.6","350","404","754"
"jakiro","Jakiro","18.6","13.0","31.7","418","292","710"
"antimage","Anti Mage","12.2","15.7","27.9","273","353","626"
"shredder","Timbersaw","14.2","12.9","27.1","318","289","607"
"razor","Razor","12.0","14.0","26.0","270","314","584"
"storm_spirit","Storm Spirit","12.0","13.5","25.5","269","303","572"
"enchantress","Enchantress","9.7","11.8","21.5","217","264","481"
"bounty_hunter","Bounty Hunter","12.8","8.5","21.4","288","191","479"
"crystal_maiden","Crystal Maiden","16.1","3.2","19.3","361","72","433"
"templar_assassin","Templar Assassin","7.6","11.3","18.9","171","253","424"
"windrunner","Windranger","14.5","4.2","18.7","325","94","419"
"abaddon","Abaddon","7.5","10.3","17.8","169","230","399"
"magnataur","Magnus","8.9","7.2","16.1","199","162","361"
"nevermore","Shadow Fiend","10.3","5.6","15.9","232","125","357"
"elder_titan","Elder Titan","7.4","7.9","15.3","165","178","343"
"leshrac","Leshrac","9.8","5.4","15.2","219","122","341"
"sand_king","Sand King","11.5","3.5","14.9","257","78","335"
"troll_warlord","Troll Warlord","8.3","6.6","14.9","186","148","334"
"juggernaut","Juggernaut","7.6","6.9","14.5","171","155","326"
"kunkka","Kunkka","7.9","6.3","14.2","177","141","318"
"enigma","Enigma","8.2","4.7","12.9","183","106","289"
"lina","Lina","9.4","3.3","12.6","210","73","283"
"mirana","Mirana","9.6","2.6","12.2","215","59","274"
"chaos_knight","Chaos Knight","5.6","6.2","11.8","126","139","265"
"vengefulspirit","Vengeful Spirit","10.0","1.8","11.8","224","41","265"
"spectre","Spectre","6.6","5.0","11.6","149","112","261"
"beastmaster","Beastmaster","8.2","3.2","11.3","183","71","254"
"doom_bringer","Doom","6.9","4.0","10.9","155","89","244"
"phantom_lancer","Phantom Lancer","4.5","6.0","10.5","101","134","235"
"luna","Luna","6.4","3.4","9.8","143","77","220"
"earthshaker","Earthshaker","7.4","1.9","9.3","166","43","209"
"tinker","Tinker","4.4","4.3","8.7","99","96","195"
"slark","Slark","4.4","4.2","8.6","99","94","193"
