"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"legion_commander","Legion Commander","0.8","2.9","3.7","2","7","9"
"enchantress","Enchantress","2.1","1.6","3.7","5","4","9"
"huskar","Huskar","0.0","3.3","3.3","0","8","8"
"crystal_maiden","Crystal Maiden","2.9","0.4","3.3","7","1","8"
"clinkz","Clinkz","2.5","0.8","3.3","6","2","8"
"faceless_void","Faceless Void","1.6","1.2","2.9","4","3","7"
"morphling","Morphling","2.5","0.4","2.9","6","1","7"
"omniknight","Omniknight","1.2","1.2","2.5","3","3","6"
"death_prophet","Death Prophet","2.1","0.4","2.5","5","1","6"
"skywrath_mage","Skywrath Mage","2.5","0.0","2.5","6","0","6"
"weaver","Weaver","1.2","1.2","2.5","3","3","6"
"leshrac","Leshrac","1.2","0.8","2.1","3","2","5"
"phantom_assassin","Phantom Assassin","1.6","0.0","1.6","4","0","4"
"meepo","Meepo","0.0","1.6","1.6","0","4","4"
"shadow_demon","Shadow Demon","1.6","0.0","1.6","4","0","4"
"treant","Treant Protector","1.2","0.0","1.2","3","0","3"
"obsidian_destroyer","Outworld Devourer","1.2","0.0","1.2","3","0","3"
"winter_wyvern","Winter Wyvern","0.8","0.4","1.2","2","1","3"
"warlock","Warlock","1.2","0.0","1.2","3","0","3"
"pugna","Pugna","1.2","0.0","1.2","3","0","3"
"storm_spirit","Storm Spirit","0.4","0.8","1.2","1","2","3"
"elder_titan","Elder Titan","0.8","0.0","0.8","2","0","2"
"kunkka","Kunkka","0.8","0.0","0.8","2","0","2"
"enigma","Enigma","0.8","0.0","0.8","2","0","2"
"centaur","Centaur Warrunner","0.8","0.0","0.8","2","0","2"
"necrolyte","Necrophos","0.4","0.4","0.8","1","1","2"
"venomancer","Venomancer","0.8","0.0","0.8","2","0","2"
"troll_warlord","Troll Warlord","0.8","0.0","0.8","2","0","2"
"tinker","Tinker","0.8","0.0","0.8","2","0","2"
"sniper","Sniper","0.4","0.0","0.4","1","0","1"
"medusa","Medusa","0.4","0.0","0.4","1","0","1"
"techies","Techies","0.0","0.4","0.4","0","1","1"
