"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"gyrocopter","Gyrocopter","46.9","47.7","94.7","114","116","230"
"tusk","Tusk","45.3","44.0","89.3","110","107","217"
"invoker","Invoker","34.6","41.6","76.1","84","101","185"
"dark_seer","Dark Seer","25.1","47.3","72.4","61","115","176"
"bane","Bane","37.9","32.9","70.8","92","80","172"
"dazzle","Dazzle","35.8","33.7","69.5","87","82","169"
"wisp","Io","11.9","46.9","58.8","29","114","143"
"undying","Undying","25.1","33.7","58.8","61","82","143"
"queenofpain","Queen of Pain","26.3","31.3","57.6","64","76","140"
"oracle","Oracle","20.6","33.7","54.3","50","82","132"
"slardar","Slardar","21.4","25.5","46.9","52","62","114"
"vengefulspirit","Vengeful Spirit","34.2","12.3","46.5","83","30","113"
"ember_spirit","Ember Spirit","18.5","26.3","44.9","45","64","109"
"spirit_breaker","Spirit Breaker","23.9","19.3","43.2","58","47","105"
"viper","Viper","16.5","26.7","43.2","40","65","105"
"earth_spirit","Earth Spirit","16.5","23.9","40.3","40","58","98"
"ancient_apparition","Ancient Apparition","15.6","24.7","40.3","38","60","98"
"phantom_lancer","Phantom Lancer","12.3","27.6","39.9","30","67","97"
"night_stalker","Night Stalker","15.6","20.2","35.8","38","49","87"
"disruptor","Disruptor","20.6","14.4","35.0","50","35","85"
"juggernaut","Juggernaut","18.1","16.9","35.0","44","41","85"
"broodmother","Broodmother","8.2","25.1","33.3","20","61","81"
"razor","Razor","14.8","16.5","31.3","36","40","76"
"nevermore","Shadow Fiend","15.2","14.4","29.6","37","35","72"
"templar_assassin","Templar Assassin","11.1","18.1","29.2","27","44","71"
"lina","Lina","18.5","9.9","28.4","45","24","69"
"dragon_knight","Dragon Knight","16.9","10.7","27.6","41","26","67"
"beastmaster","Beastmaster","13.6","13.2","26.7","33","32","65"
"shadow_shaman","Shadow Shaman","15.6","10.3","25.9","38","25","63"
"furion","Natures Prophet","11.9","13.6","25.5","29","33","62"
"tiny","Tiny","16.0","9.5","25.5","39","23","62"
"doom_bringer","Doom","9.9","14.0","23.9","24","34","58"
"earthshaker","Earthshaker","18.1","4.9","23.0","44","12","56"
"chen","Chen","6.2","16.5","22.6","15","40","55"
"rattletrap","Clockwerk","11.1","11.5","22.6","27","28","55"
"batrider","Batrider","11.5","9.1","20.6","28","22","50"
"ursa","Ursa","11.1","9.5","20.6","27","23","50"
"windrunner","Windranger","10.7","9.5","20.2","26","23","49"
"alchemist","Alchemist","9.1","10.7","19.8","22","26","48"
"bounty_hunter","Bounty Hunter","6.6","12.8","19.3","16","31","47"
"witch_doctor","Witch Doctor","16.5","1.6","18.1","40","4","44"
"rubick","Rubick","13.6","4.1","17.7","33","10","43"
"abaddon","Abaddon","8.6","7.0","15.6","21","17","38"
"bristleback","Bristleback","7.4","6.6","14.0","18","16","34"
"keeper_of_the_light","Keeper of the Light","7.0","7.0","14.0","17","17","34"
"visage","Visage","8.6","4.5","13.2","21","11","32"
"jakiro","Jakiro","10.3","2.5","12.8","25","6","31"
"slark","Slark","7.0","5.3","12.3","17","13","30"
"lich","Lich","7.8","4.5","12.3","19","11","30"
"drow_ranger","Drow Ranger","4.5","7.0","11.5","11","17","28"
"zuus","Zeus","7.4","3.3","10.7","18","8","26"
"antimage","Anti Mage","6.2","4.5","10.7","15","11","26"
"terrorblade","Terrorblade","4.1","6.2","10.3","10","15","25"
"lion","Lion","7.0","2.1","9.1","17","5","22"
"pudge","Pudge","4.9","4.1","9.1","12","10","22"
"silencer","Silencer","5.3","3.3","8.6","13","8","21"
"tidehunter","Tidehunter","6.2","1.6","7.8","15","4","19"
"skeleton_king","Wraith King","5.3","2.5","7.8","13","6","19"
"nyx_assassin","Nyx Assassin","5.3","2.1","7.4","13","5","18"
"sven","Sven","4.1","3.3","7.4","10","8","18"
"puck","Puck","5.8","1.2","7.0","14","3","17"
"naga_siren","Naga Siren","3.7","2.9","6.6","9","7","16"
"shredder","Timbersaw","4.9","1.2","6.2","12","3","15"
"luna","Luna","4.1","2.1","6.2","10","5","15"
"ogre_magi","Ogre Magi","5.3","0.4","5.8","13","1","14"
"brewmaster","Brewmaster","4.1","1.6","5.8","10","4","14"
"sand_king","Sand King","4.1","1.2","5.3","10","3","13"
"magnataur","Magnus","3.7","1.6","5.3","9","4","13"
"chaos_knight","Chaos Knight","3.3","1.6","4.9","8","4","12"
"spectre","Spectre","3.3","1.6","4.9","8","4","12"
"phoenix","Phoenix","3.3","1.6","4.9","8","4","12"
"lone_druid","Lone Druid","2.9","2.1","4.9","7","5","12"
"mirana","Mirana","1.6","2.9","4.5","4","7","11"
"lycan","Lycan","2.1","2.5","4.5","5","6","11"
"axe","Axe","1.6","2.5","4.1","4","6","10"
"life_stealer","Lifestealer","2.9","1.2","4.1","7","3","10"
