"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"batrider","Batrider","23.9","53.2","77.1","625","1392","2017"
"troll_warlord","Troll Warlord","27.5","49.3","76.8","720","1290","2010"
"vengefulspirit","Vengeful Spirit","47.5","26.1","73.6","1243","682","1925"
"axe","Axe","30.4","42.2","72.6","796","1103","1899"
"wisp","Io","18.2","47.8","66.1","477","1251","1728"
"juggernaut","Juggernaut","29.2","33.2","62.4","765","868","1633"
"lion","Lion","41.1","17.8","58.9","1074","466","1540"
"sniper","Sniper","19.6","39.1","58.7","514","1022","1536"
"nevermore","Shadow Fiend","29.4","23.8","53.2","770","622","1392"
"storm_spirit","Storm Spirit","22.9","30.2","53.1","598","791","1389"
"earthshaker","Earthshaker","32.8","16.3","49.1","859","426","1285"
"queenofpain","Queen of Pain","25.1","21.3","46.4","656","558","1214"
"skywrath_mage","Skywrath Mage","32.4","13.5","45.9","847","354","1201"
"ancient_apparition","Ancient Apparition","19.0","25.3","44.3","496","662","1158"
"rattletrap","Clockwerk","22.1","19.5","41.6","579","509","1088"
"brewmaster","Brewmaster","15.2","25.2","40.4","398","659","1057"
"bristleback","Bristleback","18.4","20.6","39.0","482","539","1021"
"chen","Chen","13.5","25.3","38.8","352","663","1015"
"witch_doctor","Witch Doctor","25.9","12.0","37.9","677","315","992"
"slark","Slark","14.8","22.8","37.6","386","597","983"
"tidehunter","Tidehunter","14.6","21.1","35.7","382","552","934"
"viper","Viper","13.4","20.4","33.8","351","533","884"
"zuus","Zeus","19.8","12.9","32.7","518","337","855"
"broodmother","Broodmother","5.7","26.1","31.8","150","683","833"
"faceless_void","Faceless Void","10.6","19.8","30.4","276","519","795"
"lina","Lina","18.8","8.7","27.6","493","228","721"
"dazzle","Dazzle","15.6","11.9","27.5","409","310","719"
"medusa","Medusa","10.1","16.6","26.6","264","433","697"
"rubick","Rubick","19.8","6.2","26.0","518","161","679"
"lycan","Lycan","9.1","16.7","25.8","239","436","675"
"ember_spirit","Ember Spirit","13.4","12.2","25.6","350","320","670"
"phoenix","Phoenix","13.6","10.2","23.8","355","267","622"
"disruptor","Disruptor","14.2","8.0","22.2","372","209","581"
"spirit_breaker","Spirit Breaker","11.0","9.4","20.5","289","247","536"
"drow_ranger","Drow Ranger","8.1","12.3","20.4","212","321","533"
"naga_siren","Naga Siren","5.0","15.1","20.1","132","395","527"
"morphling","Morphling","10.7","9.1","19.7","279","237","516"
"magnataur","Magnus","10.1","8.7","18.8","264","227","491"
"enigma","Enigma","9.6","8.2","17.9","252","215","467"
"puck","Puck","10.7","7.0","17.7","280","182","462"
"antimage","Anti Mage","8.1","8.9","17.0","212","232","444"
"night_stalker","Night Stalker","7.8","8.9","16.7","204","232","436"
"silencer","Silencer","8.5","8.1","16.6","222","211","433"
"treant","Treant Protector","9.7","6.8","16.5","254","177","431"
"beastmaster","Beastmaster","8.9","7.0","15.9","232","183","415"
"templar_assassin","Templar Assassin","8.0","7.2","15.1","208","188","396"
"invoker","Invoker","8.5","6.3","14.8","222","164","386"
"doom_bringer","Doom","7.0","7.6","14.5","182","198","380"
"razor","Razor","7.2","7.1","14.3","188","186","374"
"phantom_lancer","Phantom Lancer","6.2","7.7","14.0","163","202","365"
"tiny","Tiny","8.3","4.6","12.8","216","120","336"
"centaur","Centaur Warrunner","7.8","4.5","12.4","205","119","324"
"sand_king","Sand King","7.6","4.3","11.9","200","112","312"
"spectre","Spectre","5.2","5.7","10.9","135","150","285"
"ogre_magi","Ogre Magi","8.5","2.1","10.6","222","54","276"
"omniknight","Omniknight","5.0","5.5","10.5","132","143","275"
"phantom_assassin","Phantom Assassin","5.1","4.5","9.6","133","118","251"
"jakiro","Jakiro","5.8","3.0","8.8","151","79","230"
"windrunner","Windranger","6.6","1.7","8.3","173","45","218"
"nyx_assassin","Nyx Assassin","5.1","2.9","8.0","133","76","209"
"venomancer","Venomancer","4.5","3.5","8.0","119","91","210"
"death_prophet","Death Prophet","2.5","4.8","7.3","66","125","191"
"slardar","Slardar","4.0","2.9","7.0","105","77","182"
"visage","Visage","3.7","3.2","6.9","96","84","180"
"lich","Lich","4.6","1.7","6.3","121","44","165"
"tinker","Tinker","2.9","3.0","5.8","75","78","153"
