"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"shadow_shaman","Shadow Shaman","4.7","1.0","5.7","123","26","149"
"meepo","Meepo","1.7","3.9","5.5","44","101","145"
"undying","Undying","3.5","1.8","5.3","91","47","138"
"shadow_demon","Shadow Demon","3.8","1.3","5.1","99","35","134"
"abaddon","Abaddon","3.4","1.5","4.9","88","40","128"
"legion_commander","Legion Commander","2.7","1.8","4.5","71","47","118"
"mirana","Mirana","3.6","0.8","4.4","93","22","115"
"tusk","Tusk","2.1","2.3","4.4","56","59","115"
"shredder","Timbersaw","3.1","1.2","4.3","81","31","112"
"dark_seer","Dark Seer","3.2","1.0","4.2","83","26","109"
"necrolyte","Necrophos","2.7","1.5","4.1","70","38","108"
"weaver","Weaver","2.3","1.7","4.1","61","45","106"
"bane","Bane","3.0","1.0","4.0","79","25","104"
"elder_titan","Elder Titan","2.3","1.6","3.9","60","42","102"
"warlock","Warlock","2.1","1.7","3.9","56","45","101"
"luna","Luna","2.9","1.0","3.9","76","26","102"
"furion","Natures Prophet","2.9","0.8","3.7","75","22","97"
"terrorblade","Terrorblade","1.5","2.1","3.6","39","55","94"
"gyrocopter","Gyrocopter","2.4","1.0","3.5","64","27","91"
"skeleton_king","Wraith King","2.6","0.7","3.3","67","19","86"
"bloodseeker","Bloodseeker","1.8","1.3","3.1","47","35","82"
"leshrac","Leshrac","2.3","0.8","3.0","59","20","79"
"enchantress","Enchantress","1.5","1.5","3.0","39","39","78"
"sven","Sven","2.0","0.5","2.5","53","13","66"
"life_stealer","Lifestealer","1.6","1.0","2.5","41","25","66"
"obsidian_destroyer","Outworld Devourer","1.3","0.9","2.3","35","24","59"
"chaos_knight","Chaos Knight","1.2","1.1","2.3","31","28","59"
"lone_druid","Lone Druid","1.5","0.8","2.2","38","20","58"
"crystal_maiden","Crystal Maiden","2.0","0.2","2.1","52","4","56"
"clinkz","Clinkz","1.0","0.8","1.8","27","20","47"
"pudge","Pudge","1.2","0.4","1.6","32","11","43"
"pugna","Pugna","0.6","0.8","1.4","16","21","37"
"huskar","Huskar","0.8","0.4","1.2","21","10","31"
"alchemist","Alchemist","0.7","0.4","1.1","19","10","29"
"bounty_hunter","Bounty Hunter","0.8","0.2","1.0","21","5","26"
"kunkka","Kunkka","0.7","0.3","1.0","19","7","26"
"keeper_of_the_light","Keeper of the Light","0.7","0.1","0.8","19","3","22"
"techies","Techies","0.3","0.5","0.8","8","12","20"
"dragon_knight","Dragon Knight","0.7","0.1","0.8","19","2","21"
"ursa","Ursa","0.5","0.1","0.6","14","2","16"
"riki","Riki","0.2","0.1","0.3","6","2","8"
